CONTADOR,Competência,Programa,Ação,Subação/Entrega (SA),(SA) Início,(SA) Término,(SA) Produto,(SA) Unid. Medida,(SA) Quantidade,(SA) Responsável,Etapa (ET),(ET) Início,(ET) Término,(ET) Responsável,(MC) Descrição do Item de Despesa,(MC) Unid. Medida,(MC) Quantidade,(MC) Valor Unitário,(MC) Valor Total,(MC) Grupo ,(MC) Natureza,(MC) Fonte,(MC) IDU,CONTRATO,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A*B*C*D)
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Material de Consumo,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.30.013,1.500.0000,OD,Não,4,3,4,5,240
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Serviços de Limpeza,Mês,12,"R$ 30.000,00","R$ 360.000,00",Grupo_3,3.3.90.39.069,1.500.0000,CD,Existente / Aditivo,4,4,4,5,320
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Serviço Diversos de Manutenção Geral da Empresa (poço entre outros),Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.39.071,1.500.0000,OD,Novo a contratar 2024,4,4,4,4,256
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Assistência técnica de elevadores,Mês,12,"R$ 1.500,00","R$ 18.000,00",Grupo_3,3.3.90.39.071,1.500.0000,OD,Novo a contratar 2024,2,2,2,2,16
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Telefonia fixa,Mês,12,"R$ 1.500,00","R$ 18.000,00",Grupo_3,3.3.90.39.073,1.500.0000,CD,Existente / Aditivo,4,4,3,5,240
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Telefonia móvel,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.39.074,1.500.0000,CD,Existente / Aditivo,4,4,3,4,192
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Energia eletrica,Mês,12,"R$ 120.000,00","R$ 1.440.000,00",Grupo_3,3.3.90.39.059,1.500.0000,CD,Existente / Aditivo,5,5,5,5,625
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Manutenção de ar condicionado,Mês,12,"R$ 7.000,00","R$ 84.000,00",Grupo_3,3.3.90.39.071,1.500.0000,CD,Existente / Aditivo,4,4,4,4,256
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Água Potável ,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.39.069,1.500.0000,OD,Novo a contratar 2024,5,5,5,4,500
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Prestador de servIços -  Serviço de vigilancia,Mês,12,"R$ 15.000,00","R$ 180.000,00",Grupo_3,3.3.90.37.002,1.500.0000,OD,Novo a contratar 2024,3,3,3,3,81
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,FUNAC ,Mês,12,"R$ 10.000,00","R$ 120.000,00",Grupo_3,3.3.90.39.069,1.500.0000,CD,Existente / Aditivo,4,3,4,5,240
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.2_Manutenção de serviços de gestão de pessoas gerais,02/01/2024,31/12/2024,Silvia Márcia Fernandes,Lua Serviços  Eireli - ME - Aux. Administrativos  - Contrato nº 002/2022/MTI (01/04/2022 a 01/04/2027        Contratar Empresa para Executar serviços administrativos de nivel médio,Mês,12,"R$ 94.500,00","R$ 1.134.000,00",Grupo_3,3.3.90.08.006,1.500.0000,CD,Existente / Aditivo,3,3,3,3,81
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Contratar Empresa para Prestação de Serviços  -  15 - Analista Administrativo - Perfil nivel superior e pós-gradaução,Mês,12,"R$ 150.000,00","R$ 1.800.000,00",Grupo_3,3.3.90.08.006,1.501.0000,OD,Novo a contratar 2024,5,5,5,5,625
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.3_Manter assinatura de banco de preços,02/01/2024,31/12/2024,Alci Junior,Assinatura Banco de Preços,Unidade,04,"R$ 8.700,00","R$ 34.800,00",Grupo_3,3.3.90.39.003,1.500.0000,CD,Existente / Aditivo,5,3,4,5,300
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.4_Aquisição de certificados digitais,02/01/2024,31/12/2024,Celso Ricardo Branco Barreto,Aquisição de certificados digitais (assinaturas digitais) para Diretore e Gestores da MTI,Unidade,50,"R$ 308,00","R$ 15.400,00",Grupo_3,3.3.90.40.013,1.500.0000,OD,Novo a contratar 2024,3,3,5,5,225
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.5_Aquisição seguro de responsabilidade,02/01/2024,31/12/2024,Silvia Márcia Fernandes,"Seguro de Responsabilidade aos diretores da MTI, conforme ACT e decisão do Conselho de Administração",Unidade,01,"R$ 20.000,00","R$ 20.000,00",Grupo_3,3.3.90.27.003,1.500.0000,OD,Novo a contratar 2024,3,3,4,5,180
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.6_Fazer Gestão de contrato de estágio,02/01/2024,31/12/2024,Silvia Márcia Fernandes,Contratação empresa de Gestão de Estagiários Graduação. Parceria com instituições públicas e ou privadas para estágio supervisionado,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.37.004,1.500.0000,OD,Novo a contratar 2024,3,3,3,3,81
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Contratação empresa de Gestão de Estagiários Pós-Graduação. Parceria com instituições públicas e ou privadas para estágio supervisionado,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.37.004,1.500.0000,OD,Novo a contratar 2024,3,3,3,3,81
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.7_Fazer Gestão de contrato/crachá,02/01/2024,31/12/2024,Rogerio Silva ,Contratação/Aquisição de Crachas funcionais. Contratar empresa para emissao de crachas novos e reposições ,Mês,12,"R$ 500,00","R$ 6.000,00",Grupo_3,3.3.90.08.006,1.500.0000,OD,Novo a contratar 2024,3,3,3,3,81
2007,-,36,2007-Manutenção de serviços administrativos gerais,2_Implantação da Política de Gestão de Pessoas,02/01/2024,31/12/2024,Programa executado,Percentual,100,Silvia Fernandes Batista,2.1_Promover Programa de Desenvolvimento da Gestão por Desempenho,02/01/2024,31/12/2024,Silvia Márcia Fernandes,Aquisição de serviços de terceiros para implementação do Programa PDGD,Mês,12,"R$ 4.166,00","R$ 49.992,00",Grupo_3,3.3.90.39.051,1.500.0000,OD,Novo a contratar 2024,5,3,3,5,225
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,"2.2_Promover a gestão estratégica de pessoas - 1ª etapa: Atualização do Levantamento de Necessidades de Treinamento - realizado através de solicitações de chefes de equipes; coleta de informações junto a servidores e chefias, demandas por treinamentos advindas de processos administrativos, levantamento de preço médio das ações de capacitação;",02/01/2024,31/12/2024,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,"2.3_Implementação e Operacionalização do Plano. Para maior democratização dos trabalhos, serão definidos quatro polos para a execução das ações. (Polo 1 - PRES, Polo 2 - VICE PRES, Polo 3 - DTIC, Polo 4 - DAFI).",02/01/2024,31/12/2024,Silvia Márcia Fernandes,Aquisição de Capacitações,Unidade,01,"R$ 607.808,00","R$ 607.808,00",Grupo_3,3.3.90.39.051,1.501.0000,OD,Novo a contratar 2024,5,3,3,5,225
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,"2.4_Elaboração e apresentação do Plano de Capacitação - O plano Técnico-Adminsitrativo para o ano de 2022 deverá ser apresentado ao Sr. Diretor da DAFI, com vistas a aprovação pelo Presidente da MTI",02/01/2024,31/12/2024,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.5_Disseminar o plano de capacitação,02/01/2024,31/12/2024,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.6_Monitorar o plano de capacitação,02/01/2024,31/12/2024,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.7_Avaliar o plano de capacitação,02/01/2024,31/12/2024,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.8_Contratar serviços de terceiro para eventos na MTI,02/01/2024,31/12/2024,Gabriela Boscov Monteiro Vieira,"Palestrantes, divulgações, fornecedores, contratação de terceiros para eventos, decorações e compra de brindes.",Unidade,01,"R$ 180.000,00","R$ 180.000,00",Grupo_3,3.3.90.39.022,1.501.0000,OD,Novo a contratar 2024,5,5,5,5,625
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.9_Contribuir na filiação da ABEP,01/01/2024,31/12/2024,Thaynara Martins Sousa Metelo,Contribuição de afiliação ABEP 2024,Anual,01,"R$ 20.000,00","R$ 20.000,00",Grupo_3,3.3.90.39.003,1.500.0000,OD,Não,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.8_Programar despesas com passagens,02/01/2024,31/12/2024,Thaynara Martins de Souza,DESPESAS COM PASSAGENS,Unidade,01,"R$ 106.349,00","R$ 106.349,00",Grupo_3,3.3.90.33.001,1.500.0000,CD,Existente / Aditivo,3,3,1,3,27
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.8_Programar despesas com passagens,02/01/2024,31/12/2024,Thaynara Martins de Souza,DESPESAS COM PASSAGENS,Unidade,01,"R$ 37.651,00","R$ 37.651,00",Grupo_3,3.3.90.33.001,1.501.0000,CD,Existente / Aditivo,3,3,1,3,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,1_Pagamento do pessoal,02/01/2024,31/12/2024,Pagamento realizado,Unidade,01,Silvia Fernandes Batista,1.1_Efetuar pagamento de pessoal,02/01/2024,31/12/2024,Rogerio William Rodrigues Silva,"Pagamento de pessoal ativo,
Funcionários regidos pela CLT",Ano,01,"R$ 84.786.002,00","R$ 84.786.002,00",Grupo_1,3.1.90.11.001,1.500.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,"Pagamento de Encargos sociais, 
 Encargos sociais de folha de 
 pagamento",Ano,01,"R$ 18.154.813,00","R$ 18.154.813,00",Grupo_1,3.1.90.13.002,1.501.0100,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Pagamento de ex-funcionários - PDV,Ano,01,"R$ 5.085.709,00","R$ 5.085.709,00",Grupo_1,3.1.90.94.076,1.759.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Pagamento de ex-funcionários - PDV,Ano,01,"R$ 3.653.837,00","R$ 3.653.837,00",Grupo_1,3.1.90.94.076,1.501.0100,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Pagamento de ex-funcionários - PDV,Ano,01,"R$ 260.454,00","R$ 260.454,00",Grupo_1,3.1.90.94.076,1.500.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,"Pagamento de pessoal ativo,
Funcionários temporário ",Ano,01,"R$ 6.048.830,00","R$ 6.048.830,00",Grupo_1,3.1.90.04.001,1.500.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,"Pagamento de Encargos sociais, 
 Encargos sociais de folha de 
 pagamento dos temporários",Ano,01,"R$ 455.830,00","R$ 455.830,00",Grupo_1,3.1.90.04.001,1.501.0100,DO,Não,5,5,5,5,625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,-,36,2009-Manutenção de Informática,1_Planejamento monitoramento e avaliação da TI,02/01/2024,31/12/2024,Processos Mapeados,Percentual,100,Fernando César Pereira Bonfim,1.1_Mapear os processos finalísticos / suporte-serviços,02/01/2024,31/12/2024,Fernando César Pereira Bonfim,sem custo,,,,"R$ 0,00",,,,,,,,,,0
2009,-,36,2009-Manutenção de Informática,2_Manutenção de softwares aplicativos,02/01/2024,31/12/2024,Software disponibilizado,Percentual,100,Fernando César Pereira Bonfim,2.1_Manter softwares,02/01/2024,31/12/2024,Fernando César Pereira Bonfim,Manutençao do Sistema ERP Protheus,Unidade,01,"R$ 117.000,00","R$ 117.000,00",Grupo_3,3.3.90.40.008,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Ferramenta de colaboração corporativa (Google Workspace),Ano,01,"R$ 180.000,00","R$ 180.000,00",Grupo_3,3.3.90.40.012,1.501.0000,CD,Existente / Aditivo,5,5,4,4,400
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.2_Aperfeiçoar o sistema Protheus,02/01/2024,31/12/2024,Luciano Bigatão,Horas de customização do sistema Photheus do modulo de clientes/faturamento,Unidade,01,"R$ 300.000,00","R$ 300.000,00",Grupo_3,3.3.90.39.016,1.501.0000,CD,Existente / Aditivo,4,4,3,3,144
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.3_Adquirir software de gerenciamento,02/01/2024,31/12/2024,Ana Beatriz Coelho Colaço de Albuquerque,"Aquisição de licença de software para gerenciamento de riscos corporativos e compliance, o software fará parte das atividades de gerenciamneto do setor",Ano,01,"R$ 60.000,00","R$ 60.000,00",Grupo_4,4.4.90.52.014,1.500.0000,OD,Novo a contratar 2024,4,4,3,3,144
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.4_Manter software jurídico,02/01/2024,31/12/2024,Fabiola Colino Bispo dos Santos,Manutenção sistema Projuris ,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,4,4,4,4,256
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.5_Adquirir software de controle de ponto,02/01/2024,31/12/2024,Silvia Márcia,Aquisição de equipamento de frequência de ponto e Software,Unidade,01,"R$ 1.000,00","R$ 1.000,00",Grupo_4,4.4.90.30.045,1.500.0000,OD,Novo a contratar 2024,3,3,3,3,81
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,Silvia Márcia,Software para gestão de ponto (Versão atualizada) (APP Meu RH),Unidade,01,"R$ 5.000,00","R$ 5.000,00",Grupo_3,3.3.90.40.001,1.501.0000,OD,Novo a contratar 2024,,,,,
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.6_Adquirir software de gestão de pessoas e desempenho,02/01/2024,31/12/2024,Silvia Márcia,ELOFY  - Sistema de Tecnologia da Informação Ltda - Fornecimento de software de Gestão de Pessoas,Mês,12,"R$ 4.000,00","R$ 48.000,00",Grupo_3,3.3.90.30.045,1.501.0000,CD,Existente / Aditivo,1,3,3,3,27
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.7_Controlar patrimônio por RFID,02/01/2024,31/12/2024,Olívia Campos,"Aquisição de Leitores/Coletores de Dados RFID, Tags/Etiquetas para superfícies metálicas/não metálicas dos bens com tombamento patrimonial, para facilitar o Inventário Anual ",Unidade,01,"R$ 100.000,00","R$ 100.000,00",Grupo_4,4.4.90.52.014,1.500.0000,OD,Novo a contratar 2024,,,,,
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.8_Evolução e melhorias da plataforma de gestão de engajamento MTI GEN,02/01/2024,31/12/2024,Paulo Macedo,Contratação de fábrica de sofwtare para desenvolvimento e sustentação sistema de gamificação,Unidade,01,"R$ 118.000,00","R$ 118.000,00",Grupo_3,3.3.90.40.001,1.501.0000,OD,Novo a contratar 2024,5,3,4,4,240
2009,-,36,2009-Manutenção de Informática,,,,,,,,"2.9_Contratação de consultoria para registro de software, gestão e compartilhamento de propriedade intelectual",02/01/2024,31/12/2024,Paulo Macedo,Consultoria para apoio técnico especializado para registro de software e Propriedade Intelectual e provisão para pagamentos de Taxas INPI,Unidade,12,"R$ 4.000,00","R$ 48.000,00",Grupo_3,3.3.90.40.001,1.501.0000,OD,Novo a contratar 2024,5,5,5,5,625
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.10_Aperfeiçoar mecanismos de gestão comercial,02/01/2024,31/12/2024,Luciano Bigatão,"Suporte técnico / contrato Totsv -
aperfeiçoamento CRM",Unidade,01,"R$ 50.000,00","R$ 50.000,00",Grupo_3,3.3.90.39.016,1.501.0000,CD,Existente / Aditivo,4,3,4,2,96
2009,-,36,2009-Manutenção de Informática,3_Manutenção da infraestrutura de TI,02/01/2024,31/12/2024,Infraestrutura mantida,Percentual,100,Fernando César Pereira Bonfim,3.1_Adquirir solução de virtualização de estações de trabalho,02/01/2024,31/12/2024,Fernando César Pereira Bonfim,Aquisição de solução para virtualização de estações de trabalho (VDI) para atender aos empregados da MTI em suas atividades diárias,Unidade,01,"R$ 200.000,00","R$ 200.000,00",Grupo_4,4.4.90.52.014,1.500.0000,OD,Novo a contratar 2024,4,3,3,3,108
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,Fernando César Pereira Bonfim,Aquisição de licença de software para atender as demandas da MTI,Anual,01,"R$ 20.000,00","R$ 20.000,00",Grupo_4,4.4.90.52.014,1.500.0000,OD,Novo a contratar 2024,5,5,4,4,400
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.2_Manter Infraestrutura de TI (Setorial),02/01/2024,31/12/2024,Fernando César Pereira Bonfim,"Aquisição de computadores, notebooks e monitores para atender a MTI",Unidade,01,"R$ 26.000,00","R$ 26.000,00",Grupo_4,4.4.90.52.014,1.500.0000,OD,Novo a contratar 2024,5,3,3,3,135
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Aquisição de manutenção equipamentos da solução profissional de rede sem fio,Unidade,01,"R$ 10.000,00","R$ 10.000,00",Grupo_3,3.3.90.40.008,1.501.0000,OD,Novo a contratar 2024,3,3,3,5,135
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.3_Adquirir  equipamento de CFTV,02/01/2024,31/12/2024,Olivia Campos Arruda,Aquisição de manutenção para equipamento de CFTV para ambiente MTI,Unidade,01,"R$ 10.000,00","R$ 10.000,00",Grupo_3,4.4.90.52.014,1.501.0000,OD,Novo a contratar 2024,5,5,4,4,400
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.4_Manter o suporte de TI,02/01/2024,31/12/2024,Fernando César Pereira Bonfim,"Aquisição de suprimentos de TI, como microfones, adaptadores, câmeras, HDs, memória, entre outros periféricos",Unidade,01,"R$ 12.500,00","R$ 12.500,00",Grupo_4,4.4.90.52.014,1.500.0000,OD,Novo a contratar 2024,4,4,4,4,256
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,"Aquisição de manutenção de infraestrutura de rede, equipamentos e substituição de peças",Mensal,12,"R$ 1.000,00","R$ 12.000,00",Grupo_3,3.3.90.40.008,1.501.0000,OD,Novo a contratar 2024,3,4,4,3,144
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.5_.Fortalecer ações de fomento a cultura de inovação,02/01/2024,31/12/2024,Paulo Macedo,Aquisição de equipamentos voltados a desenvolvimento de projetos de pesquisa e inovação internas pela MTI,Unidade,10,"R$ 6.000,00","R$ 60.000,00",Grupo_4,4.4.90.52.014,1.500.0000,OD,Novo a contratar 2024,5,3,4,4,240
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.6_Adquirir equipamentos para comunicação e marketing,02/01/2024,31/12/2024,Gabriela Boscov Monteiro Vieira,"Aquisição de Smartphone, ring light, microfone, gimbal.",Unidade,01,"R$ 15.000,00","R$ 15.000,00",Grupo_4,4.4.90.40 52.028,1.500.0000,OD,Novo a contratar 2024,5,5,5,5,625
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.7_Adquirir equipamentos para apoio ao desemvivmento dos e-servços,02/01/2024,31/12/2024,Sócrates Barros,Smartphone e Tablets Android 13,Unidade,04,"R$ 4.000,00","R$ 16.000,00",Grupo_4,4.4.90.52.028,1.500.0000,OD,Novo a contratar 2024,5,2,3,2,60
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Smartphone IOS,Unidade,02,"R$ 10.000,00","R$ 20.000,00",Grupo_4,4.4.90.52.028,1.500.0000,OD,Novo a contratar 2024,5,3,4,3,180
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,MACBOOK AIR M2 16gb de memória,Unidade,02,"R$ 20.000,00","R$ 40.000,00",Grupo_4,4.4.90.52.028,1.500.0000,OD,Novo a contratar 2024,5,2,3,2,60
2009,-,36,2009-Manutenção de Informática,4_Manutenção de serviços de suporte,02/01/2024,31/12/2024,Suporte mantido,Percentual,100,Fernando César Pereira Bonfim,4.1_Manter o suporte de TI,02/01/2024,31/12/2024,Fernando César Pereira Bonfim,Locação de impressora e fotocopiadoras,Ano,01,"R$ 42.000,00","R$ 42.000,00",Grupo_3,3.3.90.39.041,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,-,36,2014-Publicidade institucional e propaganda,1_Manutenção da propaganda e publicidade  institucional,02/01/2024,31/12/2024,Atos administrativos publicados,Percentual,100,Gabriela Boscov Monteiro Vieira,1.1_Efetuar pagamento dos serviços,02/01/2024,31/12/2024,Gabriela Boscov Monteiro Vieira,Serviços de terceiros para Publicidade institucional e propaganda,Unidade,01,"R$ 73.500,00","R$ 73.500,00",Grupo_3,3.3.90.39.077,1.500.0000,OD,Novo a contratar 2024,3,3,2,3,54
2014,-,36,2014-Publicidade institucional e propaganda,,,,,,,,1.2_Implementar o plano anual de comunicação e marketing,02/01/2024,31/12/2024,Gabriela Boscov Monteiro Vieira,"Divulgação de campanhas, redes sociais, vídeos marketing, agência especializada, softwares de edição",Mensal,12,"R$ 3.000,00","R$ 36.000,00",Grupo_3,3.3.90.39.077,1.500.0000,OD,Novo a contratar 2024,5,5,5,5,625
2014,-,36,2014-Publicidade institucional e propaganda,,,,,,,,,,,,"Aquisição de material de consumo: banner, folder, backdroop, adesivos, Display Acrílico;
Painel;
Placa de sinalização",Unidade,12,"R$ 1.000,00","R$ 12.000,00",Grupo_3,3.3.90.39.077,1.500.0000,OD,Novo a contratar 2024,5,5,5,5,625
2014,-,36,2014-Publicidade institucional e propaganda,,,,,,,,1.3_Monitorar o plano de comunicação e marketing,02/01/2024,31/12/2024,Gabriela Boscov Monteiro Vieira,SEM CUSTO,,,,"R$ 0,00",,,,,,,,,,0
2014,-,36,2014-Publicidade institucional e propaganda,,,,,,,,1.4_Avaliar o plano de comunicação e marketing,02/01/2024,31/12/2024,Gabriela Boscov Monteiro Vieira,SEM CUSTO,,,,"R$ 0,00",,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,1_Execução do programa de valorização para os empregados da MTI,02/01/2024,31/12/2024,Programa executado,Percentual,100,Silvia Fernandes Batista,1.1_FAZER GESTÃO DO CONTRATO DE FORNECIMENTO DE VALE ALIMENTAÇÃO,02/01/2024,31/12/2024,Silvia Márcia Fernandes,SODEXO - Sodexo Pass do Brasil,Mês,12,"R$ 294.491,00","R$ 3.533.892,00",Grupo_3,3.3.90.39.60,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
