Nº ,OBJETO ,CONTRATO,DIRETORIA RESPONSÁVEL,Unidade,CÓD. PAOE,DESCRIÇÃO DO ITEM DE DESPESA,UNIDADE DE MEDIDA,QTD,VALOR UNITÁRIO,VALOR TOTAL,GRUPO DE DESPESA,NATUREZA,FONTE,IDU,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A+B+C+D)
12,"Serviços de licenciamento, suporte e atulização da ferramenta Liferay",Existente / Aditivo,DTIC,UGSOF,2787,"Manter a subscrição, suporte e atualização da ferramenta Liferay",Anual,01,"R$ 660.000,00","R$ 660.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
13,"Serviços de licenciamento, suporte e atulização das ferramentas Qlik Sense",Existente / Aditivo,DTIC,UGGDC,2787,"Manter a subscrição, suporte e atualização das ferramentas Qlik Sense ",Mensal,12,"R$ 5.000,00","R$ 60.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
14,Serviços de suporte e manutenção estendida das ferramentas ArcGis,Existente / Aditivo,DTIC,UGGDC,2787,Manter o suporte e manutenção estendida das ferramentas ArcGis,Anual,01,"R$ 380.000,00","R$ 380.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
15,Contratação de serviço de infraestrutura da Zadara que suporte Solução de BigData (Cloudera),Novo a contratar 2024,DTIC,UGITI,2787,Contratação de Serviço de infraestrutura da Zadara que suporte Solução de BigData (Cloudera) - Autoconsumo ,Mensal,12,"R$ 1.000.000,00","R$ 12.000.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
16,Licenciamento de ferramentas de apoio ao desenvolvimento - GitKraken,Novo a contratar 2024,DTIC,UGSOF,2787,Manter a subscrição da ferramenta GitKraken,Unidade,01,"R$ 20.000,00","R$ 20.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
17,Licenciamento de ferramentas de apoio ao desenvolvimento - Intellij,Existente / Aditivo,DTIC,UGSOF,2787,Provimento de ferramentas para desenvolvimento e sustentação de software,Unidade,01,"R$ 120.000,00","R$ 120.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
18,Expansão licenças GENEXUS e WorkWithPlus,Existente / Aditivo,DTIC,UGSOF,2787,"Disponibilizar ferramentas de desenvolvimento de software Low-code:  Licença de GXserver Small Business, licenças Genexus Professional Edition, licenças Gerador Java para Genexus, licenças de Work With Plus",Unidade,01,"R$ 30.000,00","R$ 30.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
19,Contratação de consultoria em ferramentas para desenvolvimento de Software (sob demanda),Novo a contratar 2024,DTIC,UGSOF,2787,Consultoria na solução de automação do processo de desenvolvimento de software (devops),Unidade,01,"R$ 40.000,00","R$ 40.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.759.0000,OD-OUTRAS DESPESAS,,,,,0
20,Consultoria e solução para gestão de privacidade conforme LGPD,Novo a contratar 2024,DTIC,UGGDC,2787,Contratação de serviço especializado em gestão de privacidade para adequação das aplicações conforme LGPD,Mensal,12,"R$ 100.000,00","R$ 1.200.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
21,AQUISIÇÃO DE FERRAMENTA E SERVIÇO DE CONSULTORIA EM GOVERNANÇA E GESTÃO DE DADOS (LGPD),Novo a contratar 2024,DTIC,UGGDC,2787,Contratação de ferramenta e serviço especializado em Governança e Gestão de Dados,Unidade,01,"R$ 3.500.000,00","R$ 3.500.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
22,"AQUISIÇÃO DE SOLUÇÃO CORPORATIVA DE ANTIVÍRUS MULTIPLATAFORMA COM GERÊNCIA CENTRALIZADA (SOLUÇÃO DE ANTIVÍRUS), COM SUPORTE E DIREITO DE ATUALIZAÇÃO POR 36 (TRINTA E SEIS) MESES (Expansão)",Existente / Aditivo,DTIC,UGSTI,2787,Atualização e suporte Ferramenta de Segurança Lógica de Infraestrutura na MTI - Antivirusl,Anual,01,"R$ 2.100.000,00","R$ 2.100.000,00",4-DESPESAS DE CAPITAL,4.4.90.52.014,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
25,"Contratação de empresa especializada para fornecimento de serviços em infraestrutura de processamento e armazenamento hiperconvergente baseado em tecnologia VMware, para o Data Center da MTI, composta por appliances de hiperconvergência e switches topo de rack.",Existente / Aditivo,DTIC,UGITI,2787,Aquisição de Solução de Hiperconvergência baseada em VMWare para implantação da Nuvem Privada MTI,Unidade,01,"R$ 2.000.000,00","R$ 2.000.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,5,5,5,625
33,Contratação de Serviços de Monitoramento de Infraestrutura de TIC - ZABBIX/GRAFARA,Existente / Aditivo,DTIC,UGITI,2787,Contratação de Serviços de Monitoramento de Infraestrutura de TIC - ZABBIX/GRAFARA,Mensal,12,"R$ 45.000,00","R$ 540.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,5,5,5,625
35,"Contratação de empresa especializada  para prestação de Monitoramento e Suporte Técnico 24x7  e serviços especializados sob demanda em soluções de banco de dados nas tecnologias MYSQL, POSTGRESQL e MONGOBD, pelo período de 03(três) anos",Existente / Aditivo,DTIC,UGITI,2787,Contratação de Serviços de Suporte e Garantia em Banco de dados Open,Mensal,12,"R$ 120.000,00","R$ 1.440.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,5,5,5,625
36,"Contratação de empresa especializada  para prestação de Monitoramento e Suporte Técnico 24x7  e serviços especializados sob demanda em soluções de banco de dados nas tecnologias MYSQL, POSTGRESQL e MONGOBD, pelo período de 03(três) anos (sob demanda)",Existente / Aditivo,DTIC,UGITI,2787,Contratação de Serviços especializados em Banco de dados Open,Unidade,3600,"R$ 550,00","R$ 1.980.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,5,5,5,625
39,"Contratação de Empresa especializada para fornecimento de Serviços de Nuvem Privada Oracle, Serviços especializados continuados e operação assistida",Novo a contratar 2024,DTIC,UGITI,2787,"Contratação de Empresa especializada para fornecimento de Serviços de Nuvem Privada Oracle, Serviços especializados continuados e operação assistida ",Mensal,12,"R$ 1.800.000,00","R$ 21.600.000,00",3-DESPESAS CORRENTES,3.3.90.40.012,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
51,"contratação de empresa especializada na prestação de serviço técnico especializado, continuado, na modalidade de fábrica de software para sustentação, desenvolvimento e melhorias dos Sistemas de Informação  e desenvolvimento/manutenção/sustentação de Projetos de Transformação Digital utilizando metodologia e práticas ágeis",Existente / Aditivo,DTIC,UGSOF,2787,"Contratação de serviço técnico especializado, continuado, na modalidade de fábrica de software para sustentação, desenvolvimento e melhorias de Sistemas de Informação, utilizando metodologia e práticas ágeis",Unidade,01,"R$ 3.500.000,00","R$ 3.500.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
01,"Serviços de consultoria em implantação de processos e metodologias ágeis de desenvolvimento de software, riscos, itsm, compliance",Novo a contratar 2024,GADV,UGPGD,NOVA 4,"Implantar processos, práticas e metodologias ágeis de desenvolvimento de software",Unidade,01,"R$ 850.000,00","R$ 850.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
02,"Sustentar e Evoluir tecnicamente a Plataforma de Transformação Digital (mt login, mt cidadão, mt servidor, mt empresarial, portal de serviços)",Existente / Aditivo,GADV,UGPGD,NOVA 4,Pagamento de USTs para manutenção da plataforma de governo digital,Unidade,2500,"R$ 250,00","R$ 625.000,00",3-DESPESAS CORRENTES,3.3.90.39,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
03,Validar dispositivos do mt cidadão por sms,Novo a contratar 2024,GADV,UGPGD,NOVA 4,Pacote de SMS para validação de dispositivo e telefone,Unidade,01,"R$ 300.000,00","R$ 300.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,5,3,3,4,180
04,"Serviços de licenciamento, suporte e atulização da ferramenta de gestão de API e integração de dados (WS02)",Novo a contratar 2024,DTIC,UGSOF,NOVA 4,"Serviços de licenciamento, suporte e atulização da ferramenta de gestão de API e integração de dados (WS02)",Unidade,01,"R$ 500.000,00","R$ 500.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
05,"Contratação de empresa especializada na prestação de serviços técnicos especailizados  de desenvolvimento de portais, para desenvolvimento do Portal de Dados Abertos de MT",Novo a contratar 2024,DTIC,UGSOF,NOVA 4,Desenvolvimento do Portal de Dados Aberto de MT,Unidade,01,"R$ 500.000,00","R$ 500.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
00,,,,,NOVA 4,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,NOVA 4,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,NOVA 4,,,,,"R$ 0,00",,,,,,,,,0
01,"Contratação de serviços terceiros
em implantação e customização na
ferramenta de gestão de portfólio e projetos, riscos, compliance, devops e processos",Existente / Aditivo,GADV,UGPGD,NOVA 5,"Contratação de serviços terceiros
em implantação e customização na
ferramenta de gestão de portfólio e projetos, riscos, compliance, devops e processos (servicenow)",Unidade,01,"R$ 8.920.000,00","R$ 8.920.000,00",3-DESPESAS CORRENTES,3.3.90.39,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
01,Realizar e Manter Serviços de reforma predial ,Novo a contratar 2024,DAFI,UGADM,2005,Manutenção Predial ,Mensal,12,"R$ 100.000,00","R$ 1.200.000,00",3-DESPESAS CORRENTES,3.3.90.39.069,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,4,500
12,Capacitações (contempla todo o plano de capacitação),Novo a contratar 2024,DAFI,UGPES/GACD,2007,Capacitar todos os Calaboradores da MTI em 2024,Mensal,12,"R$ 66.667,00","R$ 800.004,00",3-DESPESAS CORRENTES,3.3.90.39.051,1.501.0000,OD-OUTRAS DESPESAS,5,3,3,5,225
01,"Serviços de licenciamento, suporte e atualização de ferramentas Genexus",Existente / Aditivo,DTIC,UGSOF,2787,"Manter a subscrição, suporte e atualização das ferramentas Genexus",Anual,01,"R$ 60.000,00","R$ 60.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,4,500
11,"Serviços de licenciamento, suporte e atualização de ferramentas WorkWithPlus",Existente / Aditivo,DTIC,UGSOF,2787,"Manter a subscrição, suporte e atualização das ferramentas WorkWithPlus",Anual,01,"R$ 15.000,00","R$ 15.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,5,5,4,500
06,AQUISIÇÃO DE LICENÇAS DE COLABORAÇÃO CORPORATIVA,Existente / Aditivo,DTIC,UGSTI/GSUP,2009,Ferramenta de colaboração corporativa (Google Workspace),Anual,01,"R$ 180.000,00","R$ 180.000,00",3-DESPESAS CORRENTES,3.3.90.40.012,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,4,4,400
07,AQUISIÇÃO DE CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO DE SISTEMA CFTV,Novo a contratar 2024,DAFI,UGSTI,2009,Aquisição de serviço de manutenção de equipamento de CFTV para datacenter/ambiente MTI,Unidade,01,"R$ 100.000,00","R$ 100.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,OD-OUTRAS DESPESAS,5,5,4,4,400
10,AQUISIÇÃO DE LICENÇA DE SOFTWARE TI PARA ATENDER AS DEMANDAS DA MTI,Novo a contratar 2024,DTIC,UGSTI/GCES,2009,Aquisição de licença de software para acesso remonto,Anual,01,"R$ 40.000,00","R$ 40.000,00",4-DESPESAS DE CAPITAL,4.4.90.52.014,1.501.0000,OD-OUTRAS DESPESAS,5,5,4,4,400
26,Registro de Preços para Contratação de empresa especializada para o fornecimento de futuros e eventuais serviços especializados e Renovação de Subscrições em produtos das plataformas Red Hat Enterprise.,Novo a contratar 2024,DTIC,UGITI,2787,Registro de Preço - Renovação das Subscrições da Plataforma Red Hat,Unidade,01,"R$ 11.000.000,00","R$ 11.000.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,5,4,4,400
37,Contratação de empresa especializada para execução do Projeto de Prevenção à incêndios do DataCenter,Novo a contratar 2024,DTIC,UGITI,2787,Execução do Projeto de Prevenção à incendios do Datacenter,Unidade,01,"R$ 400.000,00","R$ 400.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,5,4,4,400
40,"Contratação de Empresa especializada no suporte técnico e garantia em Banco de dados SQL Server, com serviços especializados",Novo a contratar 2024,DTIC,UGITI,2787,"Contratação de Empresa especializada no suporte técnico e garantia em Banco de dados SQL Server, com serviços especializados",Mensal,12,"R$ 120.000,00","R$ 1.440.000,00",3-DESPESAS CORRENTES,3.3.90.40.012,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,3,375
04,Contratação de Empresa Especializada para a prestação de serviços continuados de limpeza e conservação com fornecimento de material e equipamentos para atender as necessidades da Empresa Mato-Grossense de Tecnologia da Informação do estado de Mato Grosso - MTI ,Existente / Aditivo,DAFI,UGADM,2007,Serviços de Limpeza ,Mensal,12,"R$ 30.000,00","R$ 360.000,00",3-DESPESAS CORRENTES,3.3.90.37.003,1.501.0000,CD-CONTRATOS DIVERSOS,4,4,4,5,320
23,"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE NÍVEL 1 PARA ORGANIZAÇÃO, DESENVOLVIMENTO, IMPLANTAÇÃO E EXECUÇÃO CONTINUADA DE ATIVIDADES DE SUPORTE TÉCNICO (SERVICE DESK) REMOTO A USUÁRIOS DE SOLUÇÕES DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÕES (TIC)",Existente / Aditivo,DTIC,UGSTI,2787,Contratação de serviços terceiros  em atendiemntos de chamados nível 1 para atendimento à MTI,Anual,01,"R$ 720.000,00","R$ 720.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,4,4,4,320
29,Aquisição de Serviços para Sistema de Armazenamento de Objetos composto de Storages com funcionalidade de Object Storage e Files Storage (NAS) NFS e SMB/CIFS com garantia pelo período de 60 (sessenta) meses (Auto consumo Zadara),Novo a contratar 2024,DTIC,UGITI,2787,Serviços de Implantação e Capacitação de Armazenamento de Object Storage,Unidade,01,"R$ 310.000,00","R$ 310.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,4,4,4,320
30,Registro de Preço para Contratação de empresa para fornecimento de Licenciamento Microsoft (Expansão),Novo a contratar 2024,DTIC,UGITI,2787,Contratação de empresa para fornecimento de Licenciamento Microsoft ,Anual,01,"R$ 8.000.000,00","R$ 8.000.000,00",3-DESPESAS CORRENTES,4.4.90.40.012,1.501.0000,OD-OUTRAS DESPESAS,5,4,3,3,180
34,Contratação de Serviços de Monitoramento de Infraestrutura de TIC - ZABBIX/GRAFARA,Existente / Aditivo,DTIC,UGITI,2787,Contratação de Serviços Especializados de Monitoramento de Infraestrutura de TIC - ZABBIX/GRAFARA (Sob demanda),Unidade,600,"R$ 450,00","R$ 270.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,4,4,4,320
57,"Contratação de ferramenta especializada em Integração de Dados  (QDI, Compose e Replicate)",Novo a contratar 2024,DTIC,UGGDC,2787,"QDI, Compose e Replicate",Unidade,01,"R$ 4.500.000,00","R$ 4.500.000,00",4-DESPESAS DE CAPITAL,32967,1.500.0000,MAIS MT,,,,,0
05,Serviços Diversos de Manutenção Geral da Empresa ,Novo a contratar 2024,DAFI,UGADM,2007,Serviços Diversos ,Mensal,12,"R$ 20.000,00","R$ 240.000,00",3-DESPESAS CORRENTES,3.3.90.39.016,1.501.0000,OD-OUTRAS DESPESAS,4,4,4,4,256
11,Água Potável ,Novo a contratar 2024,DAFI,UGADM,2007,Água Potável ,Mensal,12,"R$ 10.000,00","R$ 120.000,00",3-DESPESAS CORRENTES,,1.501.0000,OD-OUTRAS DESPESAS,4,4,4,4,256
01,Contratação de solução na modalidade SAAS - Software como serviço para gerenciamento de processos judiciais e administrativos,Existente / Aditivo,GADP,UNIJUR,2009,Manutenção de ações de Informática,Mensal,12,"R$ 5.000,00","R$ 60.000,00",3-DESPESAS CORRENTES,339040,1.501.0000,CD-CONTRATOS DIVERSOS,4,4,4,4,256
09,AQUISIÇÃO DE MANUTENÇÃO DE EQUIPAMENTOS DE TI/SUBSTITUIÇÃO DE PEÇAS DE TI PARA ATENDER AS DEMANDAS DA MTI,Novo a contratar 2024,DTIC,UGSTI/GSUP,2009,Aquisição de manutenção de equipamentos e substituição de peças,Mensal,12,"R$ 10.000,00","R$ 120.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,OD-OUTRAS DESPESAS,3,4,4,3,144
12,AQUISIÇÃO DE SUPRIMENTOS DE TI PARA ATENDER AS DEMANDAS DA MTI,Novo a contratar 2024,DTIC,UGSTI,2009,"Aquisição de suprimentos de TI, como microfones, adaptadores, câmeras, HDs, meméria, entre outros periféricos",Unidade,01,"R$ 170.000,00","R$ 170.000,00",4-DESPESAS DE CAPITAL,4.4.90.52.014,1.501.0000,OD-OUTRAS DESPESAS,4,4,4,4,256
03,Material Consumo ,Não,DAFI,UGADM,2007,Material de Consumo ,Mensal,12,"R$ 5.000,00","R$ 60.000,00",3-DESPESAS CORRENTES,3.390.30.013,1.501.0000,OD-OUTRAS DESPESAS,4,3,4,5,240
08,Telefonia Móvel ,Existente / Aditivo,DAFI,UGADM,2007,Telefonia Móvel ,Mensal,12,"R$ 5.000,00","R$ 60.000,00",3-DESPESAS CORRENTES,3.3.90.39.074,1.501.0000,CD-CONTRATOS DIVERSOS,4,4,3,4,192
41,Contratação de Solução de Balanceamento e Segurança de aplicações,Existente / Aditivo,DTIC,UGITI,2787,Contratação de Solução de Balanceamento e Segurança de aplicações,Mensal,12,"R$ 150.000,00","R$ 1.800.000,00",4-DESPESAS DE CAPITAL,4.4.90.40.014,1.501.0000,OD-OUTRAS DESPESAS,5,4,3,4,240
14,Contratação Empresa de Gestão de Estagiários Graduação,Novo a contratar 2024,DAFI,UGPES/GACD,2007,"Parceria com instituições públicas e ou privadas para estágio supervisionado - 25 estagiários - R$ 2.300,00",Mensal,12,"R$ 57.500,00","R$ 690.000,00",3-DESPESAS CORRENTES,3.3.90.37.004,1.501.0000,OD-OUTRAS DESPESAS,1,3,3,3,27
15,Contratação Empresa de Gestão de Estagiários Pós-Graduação,Novo a contratar 2024,DAFI,UGPES/GACD,2007,"Parceria com instituições públicas e ou privadas para estágio supervisionado - 25 estagiários - R$ 1.250,00",Mensal,12,"R$ 31.250,00","R$ 375.000,00",3-DESPESAS CORRENTES,3.3.90.37.004,1.501.0000,OD-OUTRAS DESPESAS,1,3,3,3,27
09,Energia Elétrica ,Existente / Aditivo,DAFI,UGADM,2007,Energia Elétrica ,Mensal,12,"R$ 120.000,00","R$ 1.440.000,00",3-DESPESAS CORRENTES,3.3.90.39.059,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
24,CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOS EM SUPORTE TÉCNICO DE NÍVEL 2,Existente / Aditivo,DTIC,UGSTI,2787,Contratação de serviços terceiros  em atendiemntos de chamados nível 2 (analista de redes/infraestrutura) para atendimento à MTI,Anual,01,"R$ 500.000,00","R$ 500.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,CD-CONTRATOS DIVERSOS,5,4,3,3,180
28,Aquisição de Sistema de Armazenamento de Objetos composto de Storages com funcionalidade de Object Storage e Files Storage (NAS) NFS e SMB/CIFS com garantia pelo período de 60 (sessenta) meses (Auto consumo Zadara),Novo a contratar 2024,DTIC,UGITI,2787,Aquisição de Solução de Armazenamento Object Storage,Unidade,01,"R$ 3.500.000,00","R$ 3.500.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,3,4,3,180
31,Aquisição de Solução de Backup,Novo a contratar 2024,DTIC,UGITI,2787,Aquisição de Solução de Backup,Unidade,01,"R$ 8.500.000,00","R$ 8.500.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.500.0000,MAIS MT,5,4,3,3,180
32,Aquisição de Solução de Backup,Novo a contratar 2024,DTIC,UGITI,2787,Serviços Especializados em Solução de Backup,Unidade,01,"R$ 1.500.000,00","R$ 1.500.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,4,3,3,180
42,Contratação de empresa para fornecimento de Licenciamento Microsoft ,Existente / Aditivo,DTIC,UGITI,2787,Contratação de empresa para fornecimento de Licenciamento Microsoft (Windows Server e SQL Server),Anual,01,"R$ 2.500.000,00","R$ 2.500.000,00",3-DESPESAS CORRENTES,4.4.90.40.012,1.501.0000,OD-OUTRAS DESPESAS,5,4,3,3,180
55,Contratação de serviços de consultoria no modelo de atendimento SME (Subject Matter Expert) para a plataforma Liferay DXP da MTI.,Existente / Aditivo,DTIC,UGSOF,1139,Consultoria Liferay,Unidade,832,"R$ 400,00","R$ 332.800,00",3-DESPESAS CORRENTES,3.3.90.40,1.759.0000,CD-CONTRATOS DIVERSOS,,,,,0
56,Contratação de ferramentas para desenvolvimento de Software,Novo a contratar 2024,DTIC,UGSOF,2787,Ferramenta Automação do processo de desenvolvimento de software (devops),Unidade,01,"R$ 40.000,00","R$ 40.000,00",4-DESPESAS DE CAPITAL,32967,1.759.0000,OD-OUTRAS DESPESAS,,,,,0
00,,,,,NOVA 4,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,NOVA 4,,,,,"R$ 0,00",,,,,,,,,0
01,"Contratação de empresa especializada na prestação de serviços continuados de gerenciamento e controle de fornecimento de combustíveis (Gasolina comum, Diesel Comum e S10, Etanol comum) em rede de postos credenciados.",Existente / Aditivo,DAFI,UGADM,2006,Despesas com Combustível ,Mensal,12,"R$ 5.000,00","R$ 60.000,00",3-DESPESAS CORRENTES,3.390.30.004,1.501.0000,CD-CONTRATOS DIVERSOS,4,3,3,4,144
07,Telefonia Fixa ,Existente / Aditivo,DAFI,UGADM,2007,Telefonia Fixa ,Mensal,12,"R$ 1.500,00","R$ 18.000,00",3-DESPESAS CORRENTES,3.3.90.39.073,1.501.0000,CD-CONTRATOS DIVERSOS,4,4,3,5,240
03,"SUPORTE TÉCNICO NO SISTEMA TOTVS PROTHEUS COM SUPORTE PARA IMPLANTAÇÃO E CONFIGURAÇÃO
",Existente / Aditivo,GADV,UGCOF/GCCP,2009,Horas de customização do sistema Photheus do modulo de clientes/faturamento,Anual,01,"R$ 300.000,00","R$ 300.000,00",3-DESPESAS CORRENTES,3.3.90.39.016,1.501.0000,CD-CONTRATOS DIVERSOS,4,4,3,3,144
11,AQUISIÇÃO DE SOFTWARE PARA GERENCIAMENTO DE RISCOS CORPORATIVOS E COMPLIANCE,Novo a contratar 2024,GADV,UNICRS,2009,"Aquisição de licença de software para gerenciamento de riscos corporativos e compliance, o software fará parte das atividades de gerenciamneto do setor",Anual,01,"R$ 60.000,00","R$ 60.000,00",4-DESPESAS DE CAPITAL,4.4.90.52.014,1.501.0000,OD-OUTRAS DESPESAS,4,4,3,3,144
