Unidade,Diretoria,Indicador (descrição),Indicador (tipo),Indicador (fórmula),Meta (objetivo),Meta (valor/quantidade) - proposta,Meta (prazo),Unidade de Medida,Polaridade do Indicador,Como,Necessidades,Observação,Histórico do Indicador,"JANEIRO
META DO MÊS","JANEIRO
ALCANCE DO MÊS","JANEIRO
RESULTADO",JANEIRO OBSERVAÇÃO,"FEVEREIRO
META DO MÊS","FEVEREIRO
ALCANCE DO MÊS","FEVEREIRO
RESULTADO",FEVEREIRO OBSERVAÇÃO,"MARÇO
META DO MÊS","MARÇO
ALCANCE DO MÊS","MARÇO
RESULTADO",MARÇO OBSERVAÇÃO,"ABRIL
META DO MÊS","ABRIL
ALCANCE DO MÊS","ABRIL
RESULTADO",ABRIL OBSERVAÇÃO,"MAIO
META DO MÊS","MAIO
ALCANCE DO MÊS","MAIO
RESULTADO",MAIO OBSERVAÇÃO,"JUNHO
META DO MÊS","JUNHO
ALCANCE DO MÊS","JUNHO
RESULTADO",JUNHO OBSERVAÇÃO,"JULHO
META DO MÊS","JULHO
ALCANCE DO MÊS","JULHO
RESULTADO",JULHO OBSERVAÇÃO,"AGOSTO
META DO MÊS","AGOSTO
ALCANCE DO MÊS","AGOSTO
RESULTADO",AGOSTO OBSERVAÇÃO,"SETEMBRO
META DO MÊS","SETEMBRO
ALCANCE DO MÊS","SETEMBRO
RESULTADO",SETEMBRO OBSERVAÇÃO,"OUTUBRO
META DO MÊS","OUTUBRO
ALCANCE DO MÊS","OUTUBRO
RESULTADO",OUTUBRO OBSERVAÇÃO,"NOVEMBRO
META DO MÊS","NOVEMBRO
ALCANCE DO MÊS","NOVEMBRO
RESULTADO",NOVEMBRO OBSERVAÇÃO,"DEZEMBRO
META DO MÊS","DEZEMBRO
ALCANCE DO MÊS","DEZEMBRO
RESULTADO",DEZEMBRO OBSERVAÇÃO
UNICRS,GADP,Percentual de empregados treinados em segurança da informação,Operacional,(qtd de colaboradores treinados/qtd total de colaboradores)*100,Medir o nível de treinamento dos empregados em segurança da informação,90%,anual,Percentual,Maior Melhor,"1. Verificar, mensalmente, através do plano de ação para tratamento dos riscos, as unidades que estão com todas as atividades em andamento, sem atrasos. ",Engajamento dos gerentes de unidades administrativas e apoio da alta direção,Segurança da Informação,criado janeiro/2025,,,"0,00%","Programado a realização de 3 treinamentos (palestras, cafétech, workshop), a serem realizados em ABR. AGO e NOV",,,"0,00%","Programado a realização de 3 treinamentos (palestras, cafétech, workshop), a serem realizados em ABR. AGO e NOV",,,"0,00%","Programado a realização de 3 treinamentos (palestras, cafétech, workshop), a serem realizados em ABR. AGO e NOV",,,"0,00%","Realizado em 30/04 o primeiro evento de SI - café tech (programado a realização de 3 treinamentos - palestras, cafétech, workshop, a serem realizados em ABR. AGO e NOV) ",,,"0,00%","Realizado em 30/04 o primeiro evento de SI - café tech (programado a realização de 3 treinamentos - palestras, cafétech, workshop, a serem realizados em ABR. AGO e NOV) ",,,"0,00%","Realizado em 30/04 o primeiro evento de SI - café tech (programado a realização de 3 treinamentos - palestras, cafétech, workshop, a serem realizados em ABR. AGO e NOV",,,"0,00%","Realizado em 30/04 o primeiro evento de SI - café tech (programado a realização de 3 treinamentos - palestras, cafétech, workshop, a serem realizados em ABR. AGO e NOV",,,"0,00%","Realizado em 30/04 o primeiro evento de SI - café tech (programado a realização de 3 treinamentos - palestras, cafétech, workshop, a serem realizados em ABR. AGO e NOV",,,-,,,,-,,,,-,,,,-,
UNICRS,,Percentual de execução das ações de disseminação da UNICRS,Operacional,(número de ações executadas / número de ações planejadas)*100,Executar todas as ações planejadas,100,anual,Percentual,Maior Melhor,"1. Elaboração de cronograma para disseminação sobre ética e realização de eventos/treinamento - projeto ""pílulas de integridade""
2. Pesquisas e elaboração do material a ser disseminado; 
3. Convite de pessoas externas para palestrar sobre temas relacionados;
4. Alinhamento com a ASSCOM para definição da melhor maneira de disseminação de conteúdos e/ou divulgação de eventos",Organização da equipe da UNICRS e da ASSCOM,Integridade/Seg. da Informação/Gestão de Riscos,,,,"10,00%","Realizada a disseminação do projeto ""fique seguro"" e ""pílulas de integridade""",,,"10,00%","Realizada a disseminação do projeto ""fique seguro"" e ""pílulas de integridade""",,,"10,00%","Realizada a disseminação do projeto ""fique seguro"", ""pílulas de integridade"" e ""de olho no código""",,,"0,00%","Realizada a disseminação do projeto ""fique seguro"", ""pílulas de integridade"" e ""de olho no código""; realizado, também, disseminação em SI, através do café tech",,,"0,00%","Realizada a disseminação do projeto ""fique seguro"", ""pílulas de integridade"" e ""de olho no código""; realizado, também, disseminação em SI, através do café tech",,,"0,00%","Realizada a disseminação do projeto ""fique seguro"", ""pílulas de integridade"" e ""de olho no código""; realizado, também, disseminação em SI, através do café tech",,,"0,00%","Realizada a disseminação do projeto ""fique seguro"", ""pílulas de integridade"" e ""de olho no código""; realizado, também, disseminação em SI, através do café tech",,,"0,00%","Realizada a disseminação do projeto ""fique seguro"", ""pílulas de integridade"" e ""de olho no código""; realizado, também, disseminação em SI, através do café tech",,,,,,,,,,,,,,,,
UNICRS,,Índice de Monitoramento dos Planos de Ação dos Riscos Operacionais e de Conformidade pelas Unidades,DIREX,(número de riscos monitorados / número total de riscos)*100,-,"100,00%",31/12/2025,Percentual,Maior Melhor,"Performance do monitoramento dos riscos operacionais pelas unidades administrativas mensalmente, conforme planilha de práticas de gestão. Fornecer apoio para que todas as unidades monitorem 100% dos riscos mensalmente.",-,-,-,"0,00%","0,00%","0,00%",Programado para fevereiro o treinamento em gerenciamento de riscos da MTI - para atualização do catálogo e portfólio 2025,"100,00%","10,00%","10,00%","Realizado, por diretoria, o treinamento de todo o corpo tático da MTI - prazo final para atualização do material em 12/03/2025","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 10 realizaram a atividade 100%, 1 unidades atualizaram parcialmente o percentual de riscos 62,5%, ficando pendente de atualização 9 unidades: UGPRO, UGGDC, UGSTI, UGEVEN, UGEPV, UGENP, UGITI,UGSDG e UGARQ.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 9 realizaram a atividade 100%, 4 unidades atualizaram parcialmente o percentual de riscos entre 62% a 86%, ficando pendente de atualização 6 unidades: UGGDC, UGSDG, UGARQ, UGEVEN, UGENP, UGEPV.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 7 realizaram a atividade 100%, 3 unidades atualizaram parcialmente o percentual de riscos entre 33% a 78%, ficando pendente de atualização 9 unidades: UGGDC, UGSDG, UGARQ, UGGDI, UGENP, UGPEV, UGACO, UGCOF, UGOFF.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 13 realizaram a atividade 100%, 5 unidades atualizaram parcialmente o percentual de riscos entre 20% a 90%, ficando pendente de atualização 2 unidades: UGOFF e UGEVEN.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 15 realizaram a atividade 100%, 3 unidades atualizaram parcialmente o percentual de riscos entre 33% a 86%, ficando pendente de atualização 2 unidades: UGGDC e UGPV.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 11 realizaram a atividade 100%, 5 unidades atualizaram parcialmente o percentual de riscos entre 30% a 80%, ficando pendente de atualização 4 unidades: UGACO, UGPRO, UGCOF E UGEPV.",,,-,,,,-,,,,-,,,,-,
UNICRS,,Índice de Monitoramento dos Riscos Estratégicos pelas Unidades,DIREX,(número de riscos monitorados / número total de riscos)*100,-,"100,00%",31/12/2025,Percentual,Maior Melhor,Performance do monitoramento dos riscos estratégicos (no servicenow) pelas unidades administrativas mensalmente. Fornecer apoio para que as unidades monitorem 100% dos riscos mensalmente.,-,-,-,"0,00%","0,00%","0,00%",Programado para fevereiro o treinamento em gerenciamento de riscos da MTI - para atualização do catálogo e portfólio 2026,"0,00%","0,00%","0,00%","Realizado, por diretoria, o treinamento de todo o corpo tático da MTI - prazo final para atualização do material em 12/03/2026","0,00%","0,00%","0,00%",Informação será atualizada ao final do mês de abril,"0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos estratégicos, somente 9 realizaram a atividade 100%, 2 unidades atualizaram parcialmente o percentual de riscos entre 33% a 66%, ficando pendente de atualização 3 unidades: UGGDC, UGARQ e UGSTI.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos estratégicos, somente 9 realizaram a atividade 100%, 2 unidades atualizaram parcialmente o percentual de riscos entre 33% a 66%, ficando pendente de atualização 3 unidades: UGGDC, UGARQ e UGSTI.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos estratégicos, somente 8 realizaram a atividade 100%, 5 unidades atualizaram parcialmente o percentual de riscos entre 20% a 90%, ficando pendente de atualização 2 unidades: UGEVEN E UGOFF.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos estratégicos, 16 realizaram a atividade 100%,  ficando pendente de atualização 4 unidades: UGPV, UGIT,UGGDC, UGSTI.","0,00%","0,00%","0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 11 realizaram a atividade 100%, 5 unidades atualizaram parcialmente o percentual de riscos entre 30% a 80%, ficando pendente de atualização 4 unidades: UGACO, UGPRO, UGCOF E UGEPV.",,,-,,,,-,,,,-,,,,-,
UNICRS,,Execução do Plano de Integridade,DIREX,(número de ações executadas / número de ações planejadas)*100,Executar todas as ações planejadas,"100,00%",31/12/2025,Percentual,Maior Melhor,Executar 100% do plano de conformidade aprovado,Organização da unidade em programar um evento com antecedência e divulgá-lo em tempo hábil; participação dos colaboradores.,"Integridade
 Criado em julho/2024","1. Divulgação da realização do treinamento do código de conduta e integridade a todos os colaboradores, com tempo hábil para que os mesmos possam se programar para participar;
2. Convocação do Presidente para que o colaborador participe do treinamento a ser realizado;
3. Conscientização do colaborador da importância em participar.","100,00%","10,00%","10,00%",Plano de ação 2025 finalizado. A partir de fevereiro será dado andamento ao percentual de execução,,,,"Plano de Integridade executado em 25,00%",,,,"Plano de Integridade executado em 30,00%",,,,Plano de Integridade executado em 60%,,,,Plano de Integridade executado em 60%,,,,"Plano de Integridade executado em 75,2%",,,,"Plano de Integridade executado em 75,2%",,,,"Plano de Integridade executado em 80,36%",,,-,,,,-,,,,-,,,,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNISECI,GADP,Recomendações com procedimentos,Operacional,(numero de recomendações com procedimentos / numero de recomendações ) *100,Recomendações com procedimentos elaborados,100,"
MENSAL",Percentual,Maior Melhor,"1. Apoiar as Unidades Administrativas na elaboração dos PPCI
2. Monitorar o prazo final para elaboração
3. Manter as Undiades Administrativas informado prazo
4. Avaliar quantativamente o numero de recomendação e de procedimento",,Controle Interno,,,,"0,00%",NÃO SE APLICA  AO PERIODO,,,"0,00%","NÃO SE APLICA  AO PERIODO
03 - 28","1,00","1,00","100,00%","1 recomendação
 Produto de Auditoria - RECOMENDAÇÃO TÉCNICA 0031/2025",,,"0,00%","NÃO SE APLICA  AO PERIODO
",,,"0,00%",NÃO SE APLICA  AO PERIODO,,,0%,NÃO SE APLICA  AO PERIODO,,,0%,NÃO SE APLICA  AO PERIODO,,,0%,NÃO SE APLICA  AO PERIODO,,,-,,,,-,,,,-,,,,-,
UNISECI,GADP,Numero de recomendações monitoradas dentro o periodo,Operacional,(numero de recomendações monitoradas / total de recomendações*100,Monitorar recomendaçoes ,100,bimestral,Percentual,Maior Melhor,"1. Identificar as recomendações com prazo proximo
2. Realizar agenda com os gerentes responsaveis
3. Avaliar o cumprimento da META",,Controle Interno,,,,"0,00%",NÃO SE APLICA  AO PERIODO,,,"0,00%","NÃO SE APLICA  AO PERIODO
03 - 28","1,00","1,00","100,00%","1 recomendação
 Produto de Auditoria - RECOMENDAÇÃO TÉCNICA 0031/2025",1,1,"100,00%","1 recomendação
 Produto de Auditoria - RECOMENDAÇÃO TÉCNICA 0031/2025","1,00","1,00","100,00%",1 recomendação - implementada,,,0%,NÃO SE APLICA  AO PERIODO,,,0%,NÃO SE APLICA  AO PERIODO,,,0%,NÃO SE APLICA  AO PERIODO,,,-,,,,-,,,,-,,,,-,
UNISECI,GADP,Relatório Consolidado Elaborado,Operacional,Numero de relatório elaborado / Numero de relatório planejado ) *100,Relatórios semestral de monitoramento consolidados,100,Trimestral,Percentual,Maior Melhor,"1. Identicar os procedientos contidos no periodo e com prazos proximos
2. Verificar os que foram concluidos
3. Elaborar realtório consolidado
4. Encaminhar as partes interessadas",,Controle Interno,,,,"0,00%",NÃO SE APLICA  AO PERIODO,,,"0,00%","NÃO SE APLICA  AO PERIODO
03 - 28",,,"0,00%","NÃO SE APLICA  AO PERIODO
",,,"0,00%","NÃO SE APLICA  AO PERIODO
",,,"0,00%",NÃO SE APLICA  AO PERIODO,,,0%,NÃO SE APLICA  AO PERIODO,1%,1%,100%,Relatório de disseminação dos resultados 2025/1,,,0%,NÃO SE APLICA  AO PERIODO,,,-,,,,-,,,,-,,,,-,
UNISECI,,Índice de Implementação das Recomendações Emitidas,DIREX,"Número de recomendações implementadas em 2025
/
Número de recomendações planejadas para encerramento em 2025
",Maximizar  o índice de implementação das recomendações,"100,00%",31/12/2025,Percentual,Maior Melhor, Acompanhar a implementação das recomendações emitidas pelos órgãos de Controle Interno e Externo por meio dos Planos de Providências do Controle Interno - PPCI,-,-,-,"0,00%","0,00%","0,00%",Monitoramento a partir de Maio,"0,00%","0,00%","0,00%",Monitoramento a partir de Maio,"0,00%","0,00%","0,00%",Monitoramento a partir de Maio,"0,00%","0,00%","0,00%",Monitoramento a partir de Maio,"1,00%","1,00%","1,00%","Consideramos  implementada, entrentanto encontra-se em analise de encerramento na CGE","1,00%","1,00%","100,00%",031/2025,"0,00%","0,00%","0,00%",NÃO SE APLICA  AO PERIODO,"0,00%","0,00%","0,00%",NÃO SE APLICA  AO PERIODO,,,-,,,,-,,,,-,,,,-,
UNISECI,,Índice de Conformidade dos Procedimentos,DIREX,"Número de quesitos em conformidade
/
Total de quesitos analisados","Promover a conformidade regulatória, a eficiência operacional","100,00%","31/12/2025
Semestral",Percentual,Maior Melhor,"Verificar a conformidade dos procedimentos relativos aos processos dos sistemas de Planejamento e Orçamento, Financeiro, Contábil, Patrimônio e Serviços, Aquisições, Gestão de Pessoas e outros realizados pelos órgãos ou entidades vinculadas",-,-,-,"0,00%","0,00%","0,00%",Monitoramento a partir de Maio,"0,00%","0,00%","0,00%",Monitoramento a partir de Maio,"0,00%","0,00%","0,00%",Monitoramento a partir de Maio,"0,00%","0,00%","0,00%",Monitoramento a partir de Maio,"0,00%","0,00%","0,00%",NÃO SE APLICA  AO PERIODO,"874,00%","867,00%","99,20%",APLICADO AO FINANCEIRO PAGAMENTO,"3,00%","3,00%","100,00%",APLIC,"45,00%","45,00%","100,00%","APLIC                   =  03
COMPRA DIRETA= 42
PATRIMONIO       = 0
------------------------------
total                       = 45",,,-,,,,-,,,,-,,,,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIJUR,GADP,Produtividade por servidor ,Operacional,Média do número de peças processuais e demandas atendidas/pelo período,Medir a produtividade individual,100%,mensal,Percentual,Maior Melhor,1 - Verificar o número de demandas atendidas registrada no GAT; 2 - Analisar com o % da produtividade registrada pelo próprio sistema GAT,,,,"100,00%","97,00%","97,00%","188 atividades

Andreza - 100%  Fabiola - 100%   Lucas Maciel - 100%     Marines - 100%  - Vicente - 100%   Ana Paula - 92,85%    Andre - 85,18%","100,00%","84,00%","84,00%","139 atividades

Andreza - 100%  Fabiola - 97,29%   Lucas Maciel - 100%     Marines - 100%  - Vicente - 88,88%   Ana Paula - 100%    Andre - 85,71%","100,00%","100,00%","100,00%",,"100,00%","100,00%","100,00%",108 atividades concluídas,"100,00%","100,00%","100,00%",,"100,00%","100,00%","100,00%",132 atividades concluidas,"100,00%","99,00%","99,00%",220 atividades,"100,00%","100,00%","100,00%",166 atividades,,,-,,,,-,,,,-,,,,-,
UNIJUR,GADP,Impacto financeiro evitado nos processos judiciais,Operacional,Valor estimado das condenações evitadas ou reduzidas através da atuação jurídica,Reflete o impacto econômico positivo da unidade,-,Semestral,Percentual,Menor Melhor,"1 - Acompanhar individualmente os processos judiciais; 2 - Incluir em tabela de controle o valor da Petição Inicial e o valor da condenação, verificando os valores.",,,,"0,00%","0,00%","0,00%",sem condenações esse mês,"0,00%","0,00%","0,00%",sem condenações esse mês,"0,00%","0,00%","0,00%",sem condenações esse mês,"0,00%","0,00%","0,00%",sem condenações esse mês,"0,00%","0,00%","0,00%",sem condenações esse mês,"0,00%","0,00%","0,00%",sem condenações esse mês,"0,00%","0,00%","0,00%",sem condenações ,"0,00%","0,00%","0,00%",,,,-,,,,-,,,,-,,,,-,
