CONTADOR,Competência,Programa,Ação,Subação/Entrega (SA),(SA) Início,(SA) Término,(SA) Produto,(SA) Unid. Medida,(SA) Quantidade,(SA) Responsável,Etapa (ET),(ET) Início,(ET) Término,(ET) Responsável,(MC) Descrição do Item de Despesa,(MC) Unid. Medida,(MC) Quantidade,(MC) Valor Unitário,(MC) Valor Total,(MC) Grupo ,(MC) Natureza,(MC) Fonte,(MC) IDU,CONTRATO,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A*B*C*D)
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Assistência técnica de elevadores,Mês,12,"R$ 1.500,00","R$ 18.000,00",Grupo_3,3.3.90.39.071,1.501.0000,CD,Existente / Aditivo,2,2,2,2,16
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Telefonia fixa,Mês,12,"R$ 1.500,00","R$ 18.000,00",Grupo_3,3.3.90.39.073,1.501.0000,CD,Existente / Aditivo,4,4,3,5,240
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Telefonia móvel,Mês,12,"R$ 6.500,00","R$ 78.000,00",Grupo_3,3.3.90.39.074,1.501.0000,CD,Existente / Aditivo,4,4,3,4,192
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Energia eletrica,Mês,12,"R$ 140.000,00","R$ 1.680.000,00",Grupo_3,3.3.90.39.059,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Manutenção de ar condicionado,Mês,12,"R$ 7.000,00","R$ 84.000,00",Grupo_3,3.3.90.39.071,1.501.0000,CD,Existente / Aditivo,4,4,4,4,256
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Manutenção de ar condicionado,Mês,12,"R$ 50.000,00","R$ 600.000,00",Grupo_3,3.3.90.39.071,1.501.0000,OD,Novo a contratar 2025,4,4,4,4,256
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Água Potável ,Mês,12,"R$ 10.000,00","R$ 120.000,00",Grupo_3,3.3.90.39.029,1.501.0000,OD,Novo a contratar 2025,4,4,4,4,256
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Mnunteção e aquisição de materiais  (poço artesiano),Mês,12,"R$ 1.500,00","R$ 18.000,00",Grupo_3,3.3.90.39.071,1.501.0000,OD,Novo a contratar 2025,3,3,3,3,81
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Prestador de servIços -  Serviço de vigilancia,Mês,12,"R$ 15.000,00","R$ 180.000,00",Grupo_3,3.3.90.37.002,1.501.0000,OD,Novo a contratar 2025,3,3,3,3,81
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,FUNAC ,Mês,12,"R$ 10.000,00","R$ 120.000,00",Grupo_3,3.3.90.39.069,1.501.0000,CD,Existente / Aditivo,4,3,4,5,240
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.2_Manter serviços de gestão de pessoas,02/01/2025,31/12/2025,Silvia Márcia Fernandes,LUA Serviços Eireli - ME - Aux. Administrativos 	Executar serviços administrativos de nivel médio,Mês,12,"R$ 125.541,00","R$ 1.506.492,00",Grupo_3,3.3.90.39.016,1.501.0000,CD,Existente / Aditivo,1,3,3,3,27
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,"Contratação de  empresa para Prestação de Serviços  - (Analista Adm. Agentes Administrativos,  Psicologo, A. Social, Porteiro e Recepção)        Executar serviços de Nivel Superior e/ou pós graduação",Mês,12,"R$ 214.000,00","R$ 2.568.000,00",Grupo_3,3.3.90.39.016,1.501.0000,OD,Novo a contratar 2025,5,5,5,5,625
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.3_Manter assinatura de banco de preços,02/01/2025,31/12/2025,Alci Junior,Assinatura Banco de Preços,Unidade,04,"R$ 8.700,00","R$ 34.800,00",Grupo_3,3.3.90.39.003,1.501.0000,CD,Existente / Aditivo,5,3,4,5,300
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.4_Adquirir seguro de responsabilidade,02/01/2025,31/12/2025,Silvia Márcia Fernandes,"Seguro de Responsabilidade aos diretores da MTI, conforme ACT e decisão do Conselho de Administração",Unidade,01,"R$ 20.000,00","R$ 20.000,00",Grupo_3,3.3.90.27.003,1.501.0000,OD,Novo a contratar 2025,3,3,4,5,180
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.5_Fazer Gestão de contrato de estágio,02/01/2025,31/12/2025,Silvia Márcia Fernandes,Tx Adm. - Parceria com instituições públicas e ou privadas para estágio supervisionado - 25 estagiários  de Graduação,Mês,12,"R$ 217,00","R$ 2.604,00",Grupo_3,3.3.90.37.004,1.501.0000,CD,Existente / Aditivo,1,3,3,3,27
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Tx Adm. Parceria com instituições públicas e ou privadas para estágio supervisionado - 25 estagiários  de Pós - Graduação,Mês,12,"R$ 306,00","R$ 3.672,00",Grupo_3,3.3.90.37.004,1.501.0000,CD,Existente / Aditivo,1,3,3,3,27
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.6_Fazer Gestão de contrato de crachá,02/01/2025,31/12/2025,Rogerio Silva ,Contratação/Aquisição de Crachas funcionais. Contratar empresa para emissao de crachas novos e reposições ,Mês,12,"R$ 1.500,00","R$ 18.000,00",Grupo_3,3.3.90.30.028,1.501.0000,OD,Novo a contratar 2025,1,3,3,3,27
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.7_Programar despesas com passagens,02/01/2025,31/12/2025,Thaynara Martins de Souza,DESPESAS COM PASSAGENS,Mês,12,"R$ 12.000,00","R$ 144.000,00",Grupo_3,3.3.90.33.001,1.501.0000,CD,Existente / Aditivo,3,3,1,3,27
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,1.8_Promover eventos na MTI,02/01/2025,31/12/2025,Francisley Campos Carolino,"Palestrantes, divulgações,
fornecedores, contratação
de terceiros para eventos,
decorações e compras.",Unidade,01,"R$ 200.000,00","R$ 200.000,00",Grupo_3,3.3.90.39.022,1.501.0000,OD,Novo a contratar 2025,3,3,3,3,81
2007,-,36,2007-Manutenção de serviços administrativos gerais,2_Implantação da Política de Gestão de Pessoas,02/01/2025,31/12/2025,Programa executado,Percentual,100,Silvia Fernandes Batista,2.1_Promover Programa de Desenvolvimento da Gestão por Desempenho,02/01/2025,31/12/2025,Silvia Márcia Fernandes,"Aquisição de serviços de terceiros para implementação do Programa de Gestão de Desempenho e Competências (PGDC) + Dimensionamento da Força de Trabalho (DFT) + OKRs (do inglês ""Objectives and Key Results""), são uma metodologia de definição de metas que ajuda as organizações a alinharem seus esforços e atingirem resultados significativos  e Regulamento de Avaliação de Desempenho",Mês,12,"R$ 8.333,00","R$ 99.996,00",Grupo_3,3.3.90.39.051,1.501.0000,OD,Novo a contratar 2025,5,3,3,5,225
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,"2.2_Promover a gestão estratégica de pessoas - 1ª etapa: Atualização do Levantamento de Necessidades de Treinamento - realizado através de solicitações de chefes de equipes; coleta de informações junto a servidores e chefias, demandas por treinamentos advindas de processos administrativos, levantamento de preço médio das ações de capacitação;",02/01/2025,31/12/2025,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,"2.3_Implantar e Operacionalizar do Plano. Para maior democratização dos trabalhos, serão definidos quatro polos para a execução das ações. (Polo 1 - PRES, Polo 2 - VICE PRES, Polo 3 - DTIC, Polo 4 - DAFI).",02/01/2025,31/12/2025,Silvia Márcia Fernandes,Aquisição de Capacitações,Mês,12,"R$ 62.500,00","R$ 750.000,00",Grupo_3,3.3.90.39.051,1.501.0000,OD,Novo a contratar 2025,5,3,3,5,225
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,"2.4_Elaborar e apresentar do Plano de Capacitação - O plano Técnico-Adminsitrativo para o ano de 2022 deverá ser apresentado ao Sr. Diretor da DAFI, com vistas a aprovação pelo Presidente da MTI",02/01/2025,31/12/2025,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.5_Disseminar o plano de capacitação,02/01/2025,31/12/2025,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.6_Monitorar o plano de capacitação,02/01/2025,31/12/2025,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.7_Avaliar o plano de capacitação,02/01/2025,31/12/2025,Silvia Márcia Fernandes,sem custo,,,,,,,,,,,,,,0
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.8_Contratar serviços de terceiro para eventos na MTI,02/01/2025,31/12/2025,Gabriela Boscov Monteiro Vieira,"Palestrantes, divulgações, fornecedores, contratação de terceiros para eventos, decorações e compra de brindes.",Unidade,01,"R$ 180.000,00","R$ 180.000,00",Grupo_3,3.3.90.39.022,1.501.0000,OD,Novo a contratar 2025,5,5,5,5,625
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,2.9_Contribuir na filiação da ABEP,02/01/2025,31/12/2025,Thaynara Martins Sousa Metelo,Contribuição de afiliação ABEP 2024,Anual,01,"R$ 20.000,00","R$ 20.000,00",Grupo_3,3.3.90.39.003,1.501.0000,OD,Não,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,1_Pagamento do pessoal,02/01/2025,31/12/2025,Pagamento realizado,Unidade,01,Silvia Fernandes Batista,1.1_Efetuar pagamento de pessoal,02/01/2025,31/12/2025,Rogerio William Rodrigues Silva,"Pagamento de pessoal ativo,
Funcionários regidos pela CLT",Ano,01,"R$ 87.066.729,00","R$ 87.066.729,00",Grupo_1,3.1.90.11.001,1.500.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Pagamento de Encargos sociais de folha de pagamento,Ano,01,"R$ 18.980.547,00","R$ 18.980.547,00",Grupo_1,3.1.90.13.002,1.501.0100,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Pagamento de ex-funcionários - PDV,Ano,01,"R$ 1.000.001,00","R$ 1.000.001,00",Grupo_1,3.1.90.94.076,1.500.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,"Pagamento de pessoal ativo,
Funcionários temporário ",Ano,01,"R$ 3.249.988,00","R$ 3.249.988,00",Grupo_1,3.1.90.04.001,1.500.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,"Pagamento de pessoal ativo,
Funcionários temporário ",Ano,01,"R$ 7.113.372,00","R$ 7.113.372,00",Grupo_1,3.1.90.04.001,1.501.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Pagamento de Encargos sociais de folha de pagamento dos temporários,Ano,01,"R$ 1.644.710,00","R$ 1.644.710,00",Grupo_1,3.1.90.04.001,1.501.0100,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Pagamento de Encargos sociais de folha de pagamento dos temporários,Ano,01,"R$ 614.503,00","R$ 614.503,00",Grupo_1,3.1.90.04.001,1.500.0000,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Bolsa Estagio + Auxilio Transporte,Ano,01,"R$ 1.055.544,00","R$ 1.055.544,00",Grupo_1,3.1.90.04.001,1.501.0100,DO,Não,5,5,5,5,625
2008,-,36,2008-Remuneração de pessoal ativo do estado e encargos sociais,,,,,,,,,,,,Bolsa Residente Tècnico  + Auxilio Transporte,Ano,01,"R$ 1.245.327,00","R$ 1.245.327,00",Grupo_1,3.1.90.04.001,1.501.0100,DO,Não,5,5,5,5,625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,-,36,2009-Manutenção de Informática,"1_Planejamento, monitoramento e avaliação da TI",02/01/2025,31/12/2025,Processos Mapeados,Percentual,100,Fernando César Pereira Bonfim,1.1_Mapear os processos finalísticos / suporte serviços,02/01/2025,31/12/2025,Fernando César Pereira Bonfim,Ferramenta de colaboração corporativa (Google Workspace),Ano,01,"R$ 400.000,00","R$ 400.000,00",Grupo_3,3.3.90.40.012,1.500.0000,CD,Existente / Aditivo,5,5,5,4,500
2009,-,36,2009-Manutenção de Informática,2_Manutenção de softwares aplicativos,02/01/2025,31/12/2025,Software disponibilizado,Percentual,100,Fernando César Pereira Bonfim,2.1_Aperfeiçoar o sistema Protheus,02/01/2025,31/12/2025,Alcindo Silva,Fornecimento de licenças de usuarios do sistema Protheus,Ano,01,"R$ 21.777,00","R$ 21.777,00",Grupo_3,3.3.90.39.016,1.500.0000,CD,Existente / Aditivo,5,3,4,3,180
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Fornececimento de licenças TOTVS - CDU MED SEG TRABALHO NG TRAD,Ano,01,"R$ 122.661,00","R$ 122.661,00",Grupo_3,3.3.90.39.016,1.500.0000,CD,Existente / Aditivo,5,3,4,3,180
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,"Horas de consultoria tecnica de analistas para sustentação, operacionalização, suporte tecnico e  implementação de customizações diversas no sistema Protheus.",Ano,01,"R$ 300.000,00","R$ 300.000,00",Grupo_3,3.3.90.39.016,1.500.0000,OD,Novo a contratar 2025,5,3,4,3,180
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,"Fornecimento de solução de custeio Sollus FPA incluindo manutenção, suporte técnico e prestação de serviços de consultoria para definição metodológica, capacitação e implantação do sistema.",Ano,01,"R$ 200.000,00","R$ 200.000,00",Grupo_3,3.3.90.39.016,1.500.0000,OD,Novo a contratar 2025,5,5,5,5,625
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.2_Adquirir software de gerenciamento,02/01/2025,31/12/2025,Ana Beatriz Coelho Colaço de Albuquerque,"Aquisição de licença de software para gerenciamento de riscos corporativos e compliance, o software fará parte das atividades de gerenciamneto do setor",Ano,01,"R$ 60.000,00","R$ 60.000,00",Grupo_4,4.4.90.52.014,1.500.0000,OD,Novo a contratar 2025,4,4,3,3,144
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,Paulo Macedo,"O CRM (Customer Relationship Management), para  melhorar a Gestão de Relacionamento com o Cliente, aumentar as vendas, fidelizar clientes e aumentar a lucratividade.",Anual,01,"R$ 80.000,00","R$ 80.000,00",Grupo_3,3.3.90.40.001,1.500.0000,OD,Novo a contratar 2025,5,3,5,5,375
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.3_Manter software jurídico,02/01/2025,31/12/2025,Fabiola Colino Bispo dos Santos,Contratação de solução na modalidade SAAS - Software como serviço para gerenciamento de processos judiciais e administrativos,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.40.001,1.500.0000,CD,Existente / Aditivo,4,4,4,4,256
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.4_Adquirir software de controle de ponto,02/01/2025,31/12/2025,Silvia Márcia,Aquisição de equipamento de frequência de ponto e Software,Unidade,01,"R$ 33.202,00","R$ 33.202,00",Grupo_4,4.4.90.30.045,1.501.0000,OD,Novo a contratar 2025,5,5,5,5,625
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Aquisição de equipamento de frequência de ponto e Software,Unidade,01,"R$ 16.798,00","R$ 16.798,00",Grupo_4,4.4.90.30.045,1.500.0000,OD,Novo a contratar 2025,5,5,5,5,625
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Software para gestão de ponto (Versão atualizada) (APP Meu RH),Unidade,01,"R$ 300.000,00","R$ 300.000,00",Grupo_3,3.3.90.40.001,1.500.0000,OD,Novo a contratar 2025,5,5,5,5,625
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.5_Adquirir software de gestão de pessoas e desempenho,02/01/2025,31/12/2025,Silvia Márcia,ELOFY  - Sistema de Tecnologia da Informação Ltda - Fornecimento de software de Gestão de Pessoas,Mês,12,"R$ 4.084,00","R$ 49.008,00",Grupo_3,3.3.90.30.045,1.500.0000,CD,Existente / Aditivo,1,3,3,3,27
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.6_Controlar patrimônio por RFID,02/01/2025,31/12/2025,Olívia Campos,"Aquisição de Leitores/Coletores de Dados RFID, Tags/Etiquetas para superfícies metálicas/não metálicas dos bens com tombamento patrimonial, para facilitar o Inventário Anual ",Unidade,01,"R$ 500.000,00","R$ 500.000,00",Grupo_4,4.4.90.52.014,1.501.0000,OD,Novo a contratar 2025,3,3,3,3,81
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.7_Promover evolução e melhorias da plataforma de gestão de engajamento MTI GEN,02/01/2025,31/12/2025,Ailton Silva Machado,Contratação de fábrica de sofwtare para desenvolvimento e sustentação sistema de gamificação,Unidade,01,"R$ 200.000,00","R$ 200.000,00",Grupo_3,3.3.90.40.001,1.500.0000,OD,Novo a contratar 2025,5,3,4,4,240
2009,-,36,2009-Manutenção de Informática,,,,,,,,"2.8_Contratar consultoria para registro de software, gestão e compartilhamento de propriedade intelectual",02/01/2025,31/12/2025,Ailton Silva Machado,Consultoria para apoio técnico especializado para registro de software e Propriedade Intelectual e provisão para pagamentos de Taxas INPI,Unidade,12,"R$ 4.000,00","R$ 48.000,00",Grupo_3,3.3.90.40.001,1.500.0000,OD,Novo a contratar 2025,5,5,5,5,625
2009,-,36,2009-Manutenção de Informática,,,,,,,,2.9_Aperfeiçoar mecanismos de gestão comercial,02/01/2025,31/12/2025,Francisley Carolino,Horas de customização do sistema Photheus do modulo de clientes/faturamento,Unidade,01,"R$ 275.564,00","R$ 275.564,00",Grupo_3,3.3.90.39.016,1.500.0000,OD,Novo a contratar 2025,4,3,4,2,96
2009,-,36,2009-Manutenção de Informática,3_Manutenção de infraestrutura de TI,02/01/2025,31/12/2025,Oferta de serviço ampliada,Percentual,100,Fernando César Pereira Bonfim,3.1_Disponbilizar Serviços e Soluções setoriais  de TIC,02/01/2025,31/12/2025,Fernando César Pereira Bonfim," Serviço de Emissão de Certificados Digitais (e-CPF, e-CNPJ), no padrão ICP-Brasil, bem como o fornecimento de dispositivos criptográficos (token), Visita(s) Técnica(s) para Validação e Emissão de Certificados Digitais - Contrato 013/2024 - AR RP",Ano,01,"R$ 3.037,00","R$ 3.037,00",Grupo_3,3.3.90.40.013,1.500.0000,CD,Existente / Aditivo,3,3,3,3,81
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,," Serviço de Emissão de Certificados Digitais (e-CPF, e-CNPJ), no padrão ICP-Brasil, bem como o fornecimento de dispositivos criptográficos (token), Visita(s) Técnica(s) para Validação e Emissão de Certificados Digitais - Contrato 013/2024 - AR RP",Ano,01,"R$ 8.963,00","R$ 8.963,00",Grupo_3,3.3.90.40.013,1.501.0000,CD,Existente / Aditivo,3,3,3,3,81
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Disponibilizar serviços e soluções setoriais de TIC (grupo 3),Anual,01,"R$ 40.000,00","R$ 40.000,00",Grupo_3,3.3.90.39.016,1.501.0000,OD,Novo a contratar 2025,5,5,4,4,400
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Disponibilizar serviços e soluções setoriais de TIC (grupo 4),Anual,01,"R$ 100.000,00","R$ 100.000,00",Grupo_4,4.4.90.52.014,1.501.0000,OD,Novo a contratar 2025,5,3,3,3,135
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Disponibilizar equipamento de TI,Anual,01,"R$ 100.000,00","R$ 100.000,00",Grupo_4,4.4.90.52.014,1.501.0000,OD,Novo a contratar 2025,5,3,3,3,135
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Disponibilizar suprimentos de TI,Anual,01,"R$ 500.000,00","R$ 500.000,00",Grupo_3,3.3.90.30.023,1.500.0000,OD,Novo a contratar 2025,5,3,3,3,135
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,Locação de impressora e fotocopiadoras,Mês,12,"R$ 1.000,00","R$ 12.000,00",Grupo_3,3.3.90.39.041,1.500.0000,CD,Existente / Aditivo,1,1,1,1,1
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.2_Adquirir  equipamento de CFTV,02/01/2025,31/12/2025,Olivia Campos Arruda,Aquisição de manutenção para equipamento de CFTV para ambiente MTI,Unidade,01,"R$ 50.000,00","R$ 50.000,00",Grupo_3,3.3.90.40.015,1.500.0000,OD,Novo a contratar 2025,5,5,4,4,400
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.3_Fortalecer ações de fomento a cultura de inovação,02/01/2025,31/12/2025,Ailton Silva Machado,Aquisição de equipamentos voltados a desenvolvimento de projetos de pesquisa e inovação internas pela MTI,Unidade,10,"R$ 6.600,00","R$ 66.000,00",Grupo_4,4.4.90.52.014,1.501.0000,OD,Novo a contratar 2025,5,3,4,4,240
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,, Notebooks de Alta peformance,Unidade,08,"R$ 12.000,00","R$ 96.000,00",Grupo_4,4.4.90.52.028,1.501.0000,OD,Novo a contratar 2025,4,3,3,3,108
2009,-,36,2009-Manutenção de Informática,,,,,,,,3.4_Manter serviços de Assessoria Jurídica,02/01/2025,31/12/2025,Fabiola Bispo,"Contratação de empresa especializada no fornecimento de soluções tecnológicas de consultoria jurídica, denominadas “Zênite Fácil ESTATAIS” e “Orientação por Escrito Zênite em Licitações e Contratos”,",Unidade,05,"R$ 22.498,00","R$ 112.490,00",Grupo_3,3.3.90.35.003,1.501.0000,CD,Existente / Aditivo,2,3,3,3,54
2009,-,36,2009-Manutenção de Informática,,,,,,,,,,,,"Contratação de empresa para prestação de serviços de captação, leitura e envio de recortes eletrônicos de diários oficiais que ofereça serviço de leitura e clipping eletrônico para acompanhamento das publicações  ",Unidade,05,"R$ 1.300,00","R$ 6.500,00",Grupo_3,3.3.90.40.014,1.500.0000,OD,Novo a contratar 2025,2,5,5,4,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,-,36,2014-Publicidade institucional e propaganda,1_Manutenção da propaganda e publicidade  institucional,02/01/2024,31/12/2024,Atos administrativos publicados,Percentual,100,Gabriela Boscov Monteiro Vieira,1.1_Implementar o plano anual de comunicação e marketing,02/01/2025,31/12/2025,Gabriela Boscov Monteiro Vieira,"Divulgação de campanhas, redes sociais, vídeos marketing, agência especializada, softwares de edição",Mensal,12,"R$ 3.000,00","R$ 36.000,00",Grupo_3,3.3.90.39.077,1.501.0000,OD,Novo a contratar 2025,3,2,3,2,36
2014,-,36,2014-Publicidade institucional e propaganda,,,,,,,,,,,,"Aquisição de material de consumo: banner, folder, backdroop, adesivos, Display Acrílico;
Painel;
Placa de sinalização",Mensal,12,"R$ 2.000,00","R$ 24.000,00",Grupo_3,3.3.90.30.061,1.501.0000,OD,Novo a contratar 2025,3,2,3,2,36
