CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,RISCO INERENTE,RISCO RESIDUAL,RISCO DE SEGURANÇA DA INFORMAÇÃO - SI,O QUE,QUEM,QUAL ATIVO CRÍTICO AFETADO PELO RISCO?,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
R.UGGOV.03,Processos críticos não mapeados ou não atualizados,OPERACIONAL,,ALTO,NÃO,"a) Identificar os processos críticos (15%)
b) Definir um plano de ação para cada processo identificado (5%)
c) Atuar no mapeamento/desenho do processo (40%)
d) Orientar gestores para execução, monitoramento e avaliação dos processos (40%)",Bruno,MTI,Para melhorar a performance gerencial e os resultados da organização,"a) Verificando junto controle interno e UNICRS e posteriormente junto ao Diretor respectivo. A gestão de riscos e segurança da informação poderá fornecer insumos relevantes para determinação dos processos críticos, juntamente com o Diretor. 
b) Elaborando plano de ação para atuação dos processos críticos identificados
c) Orientando conforme metodologia de gestão de processos
d) Orientando gestores para a efetiva execução, monitoramento e avaliação",18/03/2024,31/12/2024,"R$ 0,00",CANCELADA,"0,00%","Em planejamento / atualização de prioridades considerando as demandas na uggov

Início em atraso devido demandas do governo não previstas em planejamento anual - afetando as atividades na equipe

Nova análise: 05/06/24. Em análise quanto a real capacidade da equipe em absorver esta ação.
Análise 02/07: Equipe com alta demanda e sem condições no momento de atuar nesta atividade / Poucas pessoas para atuação com o volume de competências na uggov.

Análise de risco 24/07: Em consideração às exposições anteriores e considerando IMGG, informamos que a questão será mitigada através de um PMGG - plano de melhoria de governança e gestão - IMGG para 2025, portanto, solicito o CANCELAMENTO",UGGOV,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UNICRS.01,Não  elaborar e acompanhar os  indicadores do  programa de integridade da MTI.,OPERACIONAL,ALTO,,NÃO,- Criar o indicador de integridade e realizar o acompanhamento.,ANA BEATRIZ E IONE COSTA,MTI,"- Evitar a ocorrência de devios de integridade; 
- Fortalecer e disseminação o programa de integridade no âmbito da MTI, incentivando uma cultura ética.
- Alcance dos objetivos estratégicos promovendo o engajamento dos colaboradores e assim a melhorando a qualidade das entregas.",1. Elaborar sistematica de controle no plano anual de integridade,01/03/2024,30/04/2024,,CONCLUÍDA,"100,00%",,UNICRS,"100,00%",4,4
R.UNICRS.03,Falha no acompanhamento mensal dos riscos e encaminhamento do relatório trimestral à alta direção.,OPERACIONAL,,MODERADO,NÃO,Acompanhamento mensal e elaboração de relatório trimestral à DIREX.,ANA BEATRIZ E KAMILLA,MTI,"- Avaliar a aderência dos gerentes administrativos ao gerenciamento de riscos corporativos; 
- Acompanhar a evolução do tratamento dos riscos corporativos;
- Fornecer informações aos Diretores sobre o gerenciamento de riscos corporativos.","1. Realizar a atualização do mapa de gestão, mensalmente, sobre o preenchimento do plano de ação por cada UA;
2. Fazer o levantamento do andamento mensal do preenchimento por cada UA, em pasta apropriada, para subsidiar relatório trimestral;
3. Consolidar relatório trimestral e encaminhar aos Diretores, constando o andamento do tratamento dos riscos de cada UA, para deliberações internas com o UG responsável:
     1. JUNHO (mar, abr, mai)
     2. SETEMBRO (jun, jul, ago)
     3. Dezembro (set, out, nov, dez)",01/03/2024,20/12/2024,,CONCLUÍDA,"100,00%","1 - Mapa de gestão: realizada a avaliação de dezembro; 3,7% para cada mês avaliado.  

2 - Levantamento de informações para subsidiar o relatório trimestral: Foram coletadas as informações do painel de riscos em 09/01/2025, referente ao mês de outubro; 3,7% para cada mês coletado. 

3 - Relatório trimestral: em elaboração o terceiro relatório trimestral da GIRC-2024. ",UNICRS,,,
R.UNICRS.04,Execução parcial do plano de segurança da informação.,OPERACIONAL,,ALTO,SIM,"1.Realizar as reuniões periódicas do Comitê de Segurança e Riscos;
2. Acompanhar e cobrar a execução do plano de segurança da informação para o ano vigente.","ANA BEATRIZ, IONE E LARISSA",MTI,Promover conformidade com as melhores práticas de segurança da informação,"1. Aprovação do plano anual da unidade pelo Presidente
2. Atualização dos membros do Comitê de Segurança da informação e Riscos;
3. Atualização do RI do Comitê de Segurança e Riscos;
4. Aprovação do Plano Anual da SI pelo presidente.
",01/03/2024,20/12/2024,,CONCLUÍDA,"100,00%","1 - Aprovado o plano anual de SI da UNICRS. 25%

2 - Atualizado os membros do comitê de segurança da informação e riscos, portaria nº 025/2024/MTI. 25%

3 - Elaborado e validado pelos membros o Regimento Interno do Comitê de Segurança da Informação e Riscos; aprovado pela DIREX. 25%

4  - Validado o Plano Anual do CSIR. 25%",UNICRS,,,
R.UNICRS.05,Falha na disseminação/treinamento de segurança da informação.,OPERACIONAL,,ALTO,SIM,"1. Disseminar a todos os colaboradores as políticas e regulamentos instituídos sobre Segurança da Informação;
2. Promover palestras e treinamentos sobre segurança da informação aos colaboradores.","ANA BEATRIZ, IONE E LARISSA",MTI,Promover conscientização dos empregados,"1. Aprovação do plano anual da unidade pelo Presidente
2. Elaboração periódica (MENSAL) de material a ser disseminado via e-mail - projeto ""tome nota""
3. Convidar palestrantes para tratar de temas relacionados a segurança da informação;
4. Realizar treinamento interno sobre políticas instituídas na MTI. ",01/03/2024,20/12/2024,,CONCLUÍDA,"100,00%","1 - Aprovado o plano anual da UNICRS. 

2 - foi disseminado, mensalmente, o sétimo material referente ao projeto ""tome nota"".  

",UNICRS,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UNIJUR.01,Deficiência na defesa jurídica da empresa,CONFORMIDADE,,CRÍTICO,NÃO,Monitoramento de prazo judicial,Assessor Juridico I,MTI,Para não perder prazos judiciais.,"1. Por meio de planilha de registro de atividades já elaborada.
2. Emitir alertas ao assessor do prazo que está esgotando.
3. Avisar a PGE do prazo encaminhado.
4. Verificar se a PGE protocolou dentro do prazo.
",01/03/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,100%,Realizado diariamente,UNIJUR,"97,50%",4,4
R.UNIJUR.02,Não cumprimento da análise jurídica dentro do prazo legal de 12 dias úteis ou do prazo alinhado com a DIREX,OPERACIONAL,,CRÍTICO,NÃO,Parecer jurídico no prazo,Assessores jurídicos,MTI,Atender o interesse público,"1 - Oferecer treinamento para as áreas demandantes visando disseminar o conhecimento da legislação, visando minimizar os erros.                                                                                             2 - Elaborar cartilhas de orientação para a boa instrução processual;",01/03/2024,30/04/2024,,ATRASADA,90%,"Processo retornou da PGE com manifestação não conclusiva para revisão, após retornaremos a PGE para manifestação conclusiva",UNIJUR,,,
R.UNIJUR.03,Não cumprimento de intimação judicial feita pelo cadastro da PGE/MT,OPERACIONAL,,ALTO,NÃO,Acompanhamento semanal de todos os andamentos dos processos,UNIJUR,MTI,Não perder prazo judicial,1 - Divisão dos processos entre os assessores                                       2 - Conferência semanal nos sites dos Tribunais de cada processo,01/03/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,100%,Realizado diariamente,UNIJUR,,,
R.UNIJUR.04, Baixo engajamento das equipes internas,ESTRATÉGICO,,PEQUENO,NÃO,Comunicação entre a equipe,UNIJUR,MTI,engajar toda a equipe,Troca de informações e atualizações diárias de todos os assuntos que ocorrem no setor com o envolvimento de toda a equipe. Participação nos eventos da empresa.,01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%",Realizado semanalmente,UNIJUR,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.ASSCOM.01,"Material jornalístico ou publicitário divulgado na mídia (imprensa e redes sociais) que possa prejudicar a reputação da instituição, seus diretores, gestores e colaboradores.",OPERACIONAL,,MODERADO,SIM,Revisão de todas matérias para publicação,Unidade de Comunicação e Marketing  / Diretoria,MTI,Para criar bom relacionamento com a imprensa e mitigar possíveis danos a imagem institucional,"1 – Monitoramento dos principais veículos de imprensa de Mato Grosso;
2 – Rotina de envio de releases e oferecimento de pautas sobre as ações da MTI à imprensa;
3 – Realizar Midia Training com os principais porta-vozes da instituição;
4 – Monitoramento dos riscos de crise institucional junto a Direx ou Comitê de Crise;
",01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,ASSCOM,"100,00%",2,2
R.ASSCOM.02,Agir em desconformidade com a Lei Geral de Proteção de Dados (LGPD) e expor dados sensíveis ou sofrer com possíveis vazamentos de dados.,CONFORMIDADE,,MODERADO,SIM,   Transparência,Unidade de Comunicação e Marketing / Unidade Jurídica,MTI,Para que as informações disponibilizadas estejam conforme os padrões,"1 – Monitoramento dos sites institucionais, redes sociais e veículos de comunicação ligados a MTI;
2 – Participar de Capacitação junto a CGE, Ouvidoria e Unidade Jurídica da MTI;
3 – Submeter à Unidade Jurídica da MTI qualquer solicitação que possa ferir a LGPD;",01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,ASSCOM,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.OUVIDORIA.01,A -  Descumprimento das normas e prazos de Ouvidoria,CONFORMIDADE,MODERADO,,NÃO,Cumprir normas e prazos de Ouvidoria,Mara e Maria,MTI,"Para cumprimento das normas,  fortalecimento da imagem institucional e satisfação dos usuários","1. Capacitação/atualização da equipe de Ouvidoria;
2. Cumprimento das normativas de Ouvidoria e Transparência;
3. Monitormento dos resultados (relatório de gestão da Ouvidoria);
4. Disseminação das Normas de Ouvidoria e Transparência.
",04/03/2024,20/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%","1. Maria - 14 cursos e eventos / Mara - 13 cursos e eventos / Jennifer - 06 cursos e eventos / Gabrielle - 11
2. jan-dez- 275demandas respondidas no prazo legal.
3. 04 relatórios publicados
4. 14 disseminações",OUVIDORIA,"100,00%",3,3
R.OUVIDORIA.02,C - Não cumprir a meta na avaliação de satisfação com a Ouvidoria,ESTRATÉGICO,MODERADO,,NÃO,Cumprir Meta,Mara e Maria,MTI,Fortalecimento da imagem institucional e satisfação dos usuários,"1. Capacitação/atualização da equipe de Ouvidoria;
2. Cumprimento das normativas de Ouvidoria e Transparência;
3. Monitormento dos resultados (relatório de gestão da Ouvidoria);
4. Disseminação das Normas de Ouvidoria e Transparência.
",04/03/2024,21/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%","1. Maria - 14 cursos e eventos / Mara - 13 cursos e eventos / Jennifer - 06 cursos e eventos /  Gabrielle - 11
2. 111 avaliações recebidas, 100% positivas
3. 04 relatórios publicados
4. 14 disseminações",OUVIDORIA,,,
R.OUVIDORIA.03,D - Descumprimento das normas e prazos da LAI no que se refere as demandas de SIC; ,CONFORMIDADE,MODERADO,,NÃO,Cumprir normas e prazos do SIC,Mara e Maria,MTI,"Para cumprimento da LAI,  fortalecimento da imagem institucional e satisfação dos usuários","1. Capacitação/atualização da equipe de Ouvidoria;
2. Cumprimento das normativas de Ouvidoria e Transparência;
3. Monitormento dos resultados (relatório de gestão da Ouvidoria);
4. Disseminação das Normas de Ouvidoria e Transparência.
",04/03/2024,22/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%","1. Maria - 14 cursos e eventos / Mara - 13 cursos e eventos / Jennifer - 06 cursos e eventos /  Gabrielle - 11
2. jan-dez - 04 pedidos de informações respondido no prazo legal
3. 04 relatórios publicados
4. 14 disseminações",OUVIDORIA,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGENP.01,Não haver captação de novas ideias,OPERACIONAL,,MODERADO,NÃO,"Criar um sistema estruturado para a coleta, avaliação e implementação de novas ideias.",Aílton Machado,MTI,Um sistema de gestão de ideias ajuda a organizar o processo de captação e seleção das melhores ideias.,"Divulgar o programa nos canais da Empresa
Divulgar nos eventos realizados pela MTI
Incluir os colaboradoradores no Sistema de Gestão de gamificação",01/06/2024,31/12/2024,,EM ANDAMENTO,"95,00%",Sistema MTIGen em fase final de homologação. Testes em Produção com PILOTO com a UGPES.,UGENP,"99,55%",13,14
R.UGENP.02,Não cumprir o planejamento da demanda,OPERACIONAL,,MODERADO,NÃO,Realizar planejamento e monitorar as priorizações da camada estratégica da MTI ,Aílton Machado,MTI,Para otimizar a força de trabalho alinhado ao interesse estratégico da MTI ,"Realizar reuniões e monitoramento das ações da DIRC
Alinhar sobre as priorizações da MTI


",01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%",Reuniões semanais com o Diretor DIRC,UGENP,,,
R.UGENP.03,Falta de recursos para eventos planejados,OPERACIONAL,,ALTO,NÃO,Estabelecer um processo claro de gestão de recursos que permita o acompanhamento e a alocação adequada dos recursos para os eventos.,Aílton Machado,MTI,Uma gestão eficiente dos recursos ajuda a evitar desperdícios e a garantir que os recursos estejam disponíveis quando necessários.,"Utilizar ferramentas de gestão de projetos, definir responsabilidades claras, monitorar o uso de recursos e fazer ajustes conforme necessário.",01/03/2024,31/12/2024,,CANCELADA,,,UGENP,,,
R.UGENP.04,Deficiência na entrega de demanda priorizada innovation day,OPERACIONAL,,CRÍTICO,NÃO,"Engajar e envolver as equipes responsáveis pela entrega das demandas priorizadas, garantindo que estejam comprometidas com os objetivos do Innovation Day.",Aílton Machado,MTI,O engajamento das equipes é fundamental para garantir a colaboração e o foco na entrega das demandas prioritárias.,"Realizar sessões de brainstorming, incentivar a comunicação aberta e criar um ambiente de trabalho colaborativo para motivar as equipes.",01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%","Conversas diárias com membros da equipe, sobre aspectos pessoais/emocionais e profissionais.",UGENP,,,
R.UGENP.05,Não haver participação de trabalhos em congressos ,OPERACIONAL,MODERADO,,NÃO,"Conscientizar os colaboradores sobre os benefícios e oportunidades de participar em congressos, como networking, aprendizado e visibilidade.",Aílton Machado,MTI,A participação em congressos contribui para o desenvolvimento profissional dos colaboradores e para a disseminação do conhecimento da empresa.,"Realizar palestras internas, compartilhar casos de sucesso e incentivar a participação ativa dos colaboradores na busca por oportunidades de apresentação em congressos.                                                                                   Apoiar Financeiramente e Logisticamente os Colaboradores",01/03/2024,31/12/2024,,CANCELADA,,,UGENP,,,
R.UGENP.06,Não oferecer soluções inovadoras de acordo com o mercado,OPERACIONAL,ALTO,,NÃO,Acompanhar de perto as tendências e as mudanças no mercado de Tecnologia da Informação para identificar oportunidades de inovação.,Aílton Machado,MTI,Estar atento às demandas e preferências dos clientes permite antecipar as necessidades do mercado e desenvolver soluções inovadoras.,"Realizar análises de mercado, participar de eventos do setor, e manter contato com clientes e parceiros para obter feedback sobre tendências emergentes.",01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%","Participação em evento de TI, agendas com parceiros sobre tendências e oportunidades. ",UGENP,,,
R.UGENP.07,Não haver participação de colaboradores nos eventos internos e externos,OPERACIONAL,MODERADO,,NÃO,Personalizar a comunicação e a programação dos eventos de acordo com os interesses e necessidades dos colaboradores.,Aílton Machado,MTI,Eventos relevantes e alinhados com as expectativas dos colaboradores aumentam o engajamento e a participação.,"Realizar pesquisas de interesse, segmentar a programação dos eventos, e oferecer opções variadas que atendam às preferências da equipe.",01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%",Busca com outras áreas sobre tema e palestrantes para as agendas do Café Tech e Tech Talk,UGENP,,,
R.UGENP.08,Não evolução de contratações dos produtos disponibilizados através de parcerias da MTI,OPERACIONAL,ALTO,,SIM,Estabelecer métricas de desempenho e monitorar regularmente a aceitação e o uso dos produtos disponibilizados por meio das parcerias.,Aílton Machado,MTI,Parcerias sólidas e transparentes são essenciais para a evolução contínua dos produtos e para a manutenção de uma rede de colaboração eficaz.,Monitorar possibilidades de novos parceiros para poderem eventualmente possibilitar a continuidade de negócios.,01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%",20 Empresas Entrevistadas: Positivo Tecnologia; Italtel Brasil; Norden IT; Pentágono TI; MTM Tecnologia; EVO; BA Group e Teltec; Palo Alto;  Positivo; Thales; PPN Tecnologia; Autodesk; LanLink; Pars/Adobe; Bricon It Solution; Invillia; Energy Telecom; Chip Cia/DELL; 9NET/AWS; VALID,UGENP,,,
R.UGENP.09,Vazamento de dados sigilosos referentes ao processo de parcerias e ideias de inovação,OPERACIONAL,CRÍTICO,,SIM,Participar de treinamentos regulares sobre segurança da informação e a importância da proteção de dados sigilosos.,Aílton Machado,MTI,"conscientização dos colaboradores é essencial para prevenir erros humanos, phishing e outras ameaças internas.","Participar de campanhas de conscientização, simulações de phishing, e orientar os colaboradores sobre boas práticas de segurança.                                                                                       Fomentar políticas de acesso baseadas em funções, criptografar dados sensíveis e monitorar as atividades de acesso e uso dos dados.",01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%","Worshop sobre LGPD;                                                  Participação nos fóruns de LGPD;                          Participação em pesquisa;                             Revisão do compartilhamento de pastas e arquivos da UG, dos processos de parceria estratégica.      ",UGENP,,,
