Nome,Tipo de Iniciativa,Resultado esperado,Objetivo Estratégico,Unidade,Ano,Prazo,Estado,Porcentagem  de conclusão
Atualização dos Checklist de instrução processual,OBES - Objetivo Estratégico,Número de cheklist atualizados,Melhorar a Qualidade das Entregas,GAQS - GERENCIA DE AQUISICOES,2024,01-07-2024 03:00:00,Concluído,"100,00"
Padronização das minutas de editais,OBES - Objetivo Estratégico,Apresentar as  minutas,Melhorar a Qualidade das Entregas,GAQS - GERENCIA DE AQUISICOES,2024,31-03-2024 03:00:00,Concluído,"100,00"
Evoluir o xVia para versão 7.4.0  utilizando em kubernetes,OBES - Objetivo Estratégico,Servidores Migrados,Melhorar a Qualidade das Entregas,GASI - GERENCIA DE ARQUITETURA DE SOLUCOES E INTEROPERABILIDADE,2024,01-09-2024 00:00:00,Concluído,"100,00"
Treinamento do pessoal  na ferramenta de gestão de custos,OBES - Objetivo Estratégico,Horas de treinamento e aquisição de ferramentas,Melhorar a Qualidade das Entregas,"GCCP - GERENCIA DE CUSTOS, CONFORMIDADE E PRESTACAO DE CONTAS",2024,31-12-2024 18:00:00,Concluído,"100,00"
"Manter a regularidade fiscal da empresa e o acompanhamento do portifólio de serviços afim de todas as informações serem fornecidas tempestivamente, garantindo boa impressão institucional no que concerne as entregas da Unidade.",OBES - Objetivo Estratégico,Procedimentos Operacionais do Setor,Elevar o nível de satisfação do cliente e de imagem institucional,"GCCP - GERENCIA DE CUSTOS, CONFORMIDADE E PRESTACAO DE CONTAS",2024,31-12-2024 18:00:00,Concluído,"100,00"
Melhoria contínua nas conformidades de gestão e conformidade/conferencia da folha de pagamento.,OBES - Objetivo Estratégico,Procedimentos Operacionais do Setor,Melhorar a Qualidade das Entregas,"GCCP - GERENCIA DE CUSTOS, CONFORMIDADE E PRESTACAO DE CONTAS",2024,31-12-2024 18:00:00,Concluído,"100,00"
70% de satisfação dos chamados N1,OBES - Objetivo Estratégico,Pesquisa de Satisfação,Elevar o nível de satisfação do cliente e de imagem institucional,GCES - GERENCIA DE CENTRAL DE SERVICOS,2024,31-12-2024 18:00:00,Concluído,"100,00"
70% Projetos entregues no prazo acordado.,OBES - Objetivo Estratégico,Projetos priorizado,Elevar o nível de satisfação do cliente e de imagem institucional,"GCOT - GERENCIA DE SOLUCOES DIGITAIS DE COMUNICACAO, TRANSPARENCIA E OUTROS SERVICOS",2024,28-12-2024 00:00:00,Concluído,"100,00"
Elaborar o mapeamento dos processos de contratos e os termos aditvos /apostilamento/rescição,OBES - Objetivo Estratégico,Apresentar o fluxo elaborado,Melhorar a Qualidade das Entregas,GCTO - GERENCIA DE CONTRATOS,2024,31-03-2024 03:00:00,Concluído,"100,00"
"Padronização das minutas de contratos , aditivos e apostilamento",OBES - Objetivo Estratégico,Apresentar as  minutas,Melhorar a Qualidade das Entregas,GCTO - GERENCIA DE CONTRATOS,2024,31-03-2024 03:00:00,Concluído,"100,00"
Atualização dos Checklist de instrução processual,OBES - Objetivo Estratégico,Número de cheklist atualizados,Melhorar a Qualidade das Entregas,GCTO - GERENCIA DE CONTRATOS,2024,01-07-2024 03:00:00,Concluído,"100,00"
Definir e implantar processo de gerenciamento de incidentes de segurança,OBES - Objetivo Estratégico,Processo implantado,Melhorar a Qualidade das Entregas,GEDC - GERENCIA DE DEFESA CIBERNETICA,2024,30-12-2024 00:00:00,Concluído,"100,00"
Disparar comunicados para os gestores e fiscais dos contratos para enviar processos de pagamentos no máximo de 5 dias úteis antes de seu vencimento,OBES - Objetivo Estratégico,Prazo para pagamento dos processos,Melhorar a Qualidade das Entregas,GEFI - GERENCIA DE EXECUCAO FINANCEIRA,2024,31-12-2024 18:00:00,Concluído,"100,00"
Disponibilizar infraestrutura de DW corporativo através da parceria,OBES - Objetivo Estratégico,DW corporativa disponibilizada,Melhorar a Qualidade das Entregas,GEGD - GERENCIA DE GESTAO DE DADOS,2024,28-12-2024 00:00:00,Concluído,"100,00"
Levantar e consolidar a necessidade de bens de consumo,OBES - Objetivo Estratégico,Atendimento as solcitações via Protheus,Melhorar a Qualidade das Entregas,GEPM - GERENCIA DE PATRIMONIO E MATERIAIS,2024,01-05-2024 00:00:00,Concluído,"100,00"
Realizar em conjunto com a contabilidade a baixa de bens permanentes,OBES - Objetivo Estratégico,Inventário anual,Melhorar a Qualidade das Entregas,GEPM - GERENCIA DE PATRIMONIO E MATERIAIS,2024,31-12-2024 18:00:00,Concluído,"100,00"
Melhorar continuamente a gestão patrimonial da empresa.,OBES - Objetivo Estratégico,Número de bens patrimoniados,Incentivar uma transformação cultural,GEPM - GERENCIA DE PATRIMONIO E MATERIAIS,2024,31-12-2024 18:00:00,Concluído,"100,00"
Publicar no site da SEPLAG a nova cadeia de valor / manual técnico área finalística,OBES - Objetivo Estratégico,Mapeamento Publicado,Melhorar a Qualidade das Entregas,GEPP - GERENCIA DE ESCRITÓRIO DE PROCESSOS E PLANEJAMENTO,2024,29-02-2024 04:00:00,Concluído,"100,00"
Aperfeiçoar a gestão à vista das práticas de gestão,OBES - Objetivo Estratégico,"Gestão à vista aperfeiçoada
Disseminação aperfeiçoada",Melhorar a Qualidade das Entregas,GEPP - GERENCIA DE ESCRITÓRIO DE PROCESSOS E PLANEJAMENTO,2024,26-04-2024 03:00:00,Concluído,"100,00"
Disponibilizar novo painel de gestão sobre a Cadeia de Valor da MTI,OBES - Objetivo Estratégico,Painel disponibilizado,Melhorar a Qualidade das Entregas,GEPP - GERENCIA DE ESCRITÓRIO DE PROCESSOS E PLANEJAMENTO,2024,01-07-2024 00:00:00,Concluído,"100,00"
Aperfeiçoar método/metodologia da avaliação da gestão adotando meta intermediária por Critério,OBES - Objetivo Estratégico,Método/modelo adotado,Melhorar a Qualidade das Entregas,GEPP - GERENCIA DE ESCRITÓRIO DE PROCESSOS E PLANEJAMENTO,2024,16-02-2024 04:00:00,Concluído,"100,00"
Montar processo de pagamento em tempo hábil para não gerar multas nas faturas,OBES - Objetivo Estratégico,Número de produtos,Melhorar a Qualidade das Entregas,GETS - GERENCIA DE TRANSPORTE E SERVICOS,2024,31-12-2024 18:00:00,Concluído,"100,00"
Monitorar e providenciar a gestão de combustível e manutenção da frota,OBES - Objetivo Estratégico,Realizar a Gestão,Melhorar a Qualidade das Entregas,GETS - GERENCIA DE TRANSPORTE E SERVICOS,2024,31-12-2024 18:00:00,Concluído,"100,00"
"Manter serviço de limpeza, apoio administrativo, recepção e copa",OBES - Objetivo Estratégico,Realizar a Gestão,Melhorar a Qualidade das Entregas,GETS - GERENCIA DE TRANSPORTE E SERVICOS,2024,31-12-2024 18:00:00,Concluído,"100,00"
Realizar pesquisa interna de satisfação específica referente a manutenção e limpeza (trimestral),OBES - Objetivo Estratégico,Número de pesquisas realizadas,Melhorar a Qualidade das Entregas,GETS - GERENCIA DE TRANSPORTE E SERVICOS,2024,31-12-2024 18:00:00,Concluído,"100,00"
Gerir e fiscalizar a execução dos contratos e dos serviços,OBES - Objetivo Estratégico,Número de contratos monitorados,Melhorar a Qualidade das Entregas,GETS - GERENCIA DE TRANSPORTE E SERVICOS,2024,31-12-2024 18:00:00,Concluído,"100,00"
Acompanhar os vencimentos dos contratos com os clientes junto a GCTO evitando que seja emitido nota fiscal de serviços prestados sem cobertura contratual.,OBES - Objetivo Estratégico,Contratos de Clientes,Elevar a receita de faturamento,GFAC - GERENCIA DE FATURAMENTO E COBRANCA,2024,31-12-2024 18:00:00,Concluído,"100,00"
70% Projetos do SigaDoc entregues no prazo acordado.,OBES - Objetivo Estratégico,Projetos priorizado,Elevar o nível de satisfação do cliente e de imagem institucional,"GFTG - GERENCIA DE SOLUCOES DIGITAIS DE PLANEJAMENTO, FINANCAS, TRIBUTACAO, CONTROLE E GESTAO",2024,28-12-2024 00:00:00,Concluído,"100,00"
Aperfeiçoar o instrumento do RIS,OBES - Objetivo Estratégico,Artefato aperfeiçoado,Melhorar a Qualidade das Entregas,GGES - GERENCIA DE GESTAO ESTRATEGICA,2024,01-07-2024 00:00:00,Concluído,"100,00"
Aperfeiçoar a gestão à vista e disseminação do plano estratégico,OBES - Objetivo Estratégico,"Painéis de gestão disponibilizados
Cartazes fisicos disponibilizados",Melhorar a Qualidade das Entregas,GGES - GERENCIA DE GESTAO ESTRATEGICA,2024,01-05-2024 00:00:00,Concluído,"100,00"
Aprimorar o PMP da Estratégia (otimização e interface com gestão de riscos) para uso no ciclo 2025,OBES - Objetivo Estratégico,PMP aprimorado,Elevar o nível de satisfação do cliente e de imagem institucional,GGES - GERENCIA DE GESTAO ESTRATEGICA,2024,01-08-2024 00:00:00,Concluído,"100,00"
Revisar 3 processos críticos da UGGOV,OBES - Objetivo Estratégico,PMP´S revisados/elaborados,Melhorar a Qualidade das Entregas,GGES - GERENCIA DE GESTAO ESTRATEGICA,2024,30-11-2024 00:00:00,Concluído,"100,00"
Implantar uma ferramenta para automação de deploy e promover a utilização em pelo menos 2 projetos,OBES - Objetivo Estratégico,Projeto com deploy automatizado,Melhorar a Qualidade das Entregas,GIAP - GERENCIA DE PROCESSOS AUTOMATIZADOS E IA,2024,02-06-2024 00:00:00,Concluído,"100,00"
"Optar por regimes e procedimentos tributarios que garantam a elisão fiscal, trazendo maior economicidade aliada ao aumento do faturamento.",OBES - Objetivo Estratégico,Adesão a Leis e procedimentos fiscais,Elevar a receita de faturamento,GICF - GERENCIA DE INFORMACOES CONTABEIS E GESTAO FISCAL,2024,31-12-2024 18:00:00,Concluído,"100,00"
"Garantir o sincronismo das informações contábeis com a dos demais sistemas de gestão públicos não integrados ao sistema contábil oficial, garantindo o registro tempestivo e compatibilização dos demonstrativos contábeis.",OBES - Objetivo Estratégico,Registros Contábeis,Melhorar a Qualidade das Entregas,GICF - GERENCIA DE INFORMACOES CONTABEIS E GESTAO FISCAL,2024,31-12-2024 18:00:00,Concluído,"100,00"
"Efetuar um acompanhamento minucioso e semanal da Caixa Postal Fiscal do e-CAC, bem como a emissão envio do Relatorio de Pendencias do CNPJ com intuito de prever ou resolver pendencias fiscais tempestivamente.",OBES - Objetivo Estratégico,Encaminhamento de e-mails contendo as informações desejadas,Melhorar a Qualidade das Entregas,GICF - GERENCIA DE INFORMACOES CONTABEIS E GESTAO FISCAL,2024,31-12-2024 18:00:00,Concluído,"100,00"
Prover Retrofit do DC,OBES - Objetivo Estratégico,Retrofit Executado,Melhorar a Qualidade das Entregas,GPAC - GERENCIA DE PARQUE COMPUTACIONAL,2024,31-12-2024 18:00:00,Concluído,"100,00"
Alcançar 70% das notas máximas das lojas Android e Apple do MT Cidadão,OBES - Objetivo Estratégico,Notas das Lojas virtuais,Elevar o nível de satisfação do cliente e de imagem institucional,GPGD - GERENCIA DE PLATAFORMA DE GOVERNO DIGITAL,2024,28-12-2024 00:00:00,Concluído,"100,00"
Realizar 03 Parcerias estratégicas,OBES - Objetivo Estratégico,Nº de parcerias realizadas,Elevar o nível de satisfação do cliente e de imagem institucional,GPIN - GERENCIA DE PARCERIAS E INOVACAO,2024,31-12-2024 00:00:00,Concluído,"100,00"
"Monitorar as atividades externas com os parceiros, anualmente (plano anual de parceria)",OBES - Objetivo Estratégico,Relatório das atividades externas das parcerias estratégicas,Elevar a receita de faturamento,GPIN - GERENCIA DE PARCERIAS E INOVACAO,2024,31-12-2024 00:00:00,Concluído,"100,00"
Fomentar 01 parceria com startups,OBES - Objetivo Estratégico,Nº de startups fomentadas,Elevar o nível de satisfação do cliente e de imagem institucional,GPIN - GERENCIA DE PARCERIAS E INOVACAO,2024,31-12-2024 00:00:00,Concluído,"100,00"
Realizar 12 Palestras (Tech Talk e Café Tech),OBES - Objetivo Estratégico,Nº de Tech Talk e Café Tech realizados FORAM 7,Melhorar a Qualidade das Entregas,GPIN - GERENCIA DE PARCERIAS E INOVACAO,2024,31-12-2024 00:00:00,Concluído,"100,00"
"Participar  em 02 eventos de tecnologia, inovação e divulgar produtos da MTI",OBES - Objetivo Estratégico,Nº de eventos participados,Incentivar uma transformação cultural,GPIN - GERENCIA DE PARCERIAS E INOVACAO,2024,31-12-2024 00:00:00,Concluído,"100,00"
"Inscrição em 02 prêmios de governo digital, anualmente",OBES - Objetivo Estratégico,"Nº de prêmios inscritos
ABEP
CONIP",Elevar o nível de satisfação do cliente e de imagem institucional,GPIN - GERENCIA DE PARCERIAS E INOVACAO,2024,31-12-2024 00:00:00,Concluído,"100,00"
CONCLUIR O MAPEAMENTO DOS PROCESSOS E REVISAR OS JÁ MAPEADOS,OBES - Objetivo Estratégico,Mapeamento e revisão de processos realizados,Melhorar a Qualidade das Entregas,"GPMM - GERENCIA DE PROVIMENTO, MANUTENCAO E MONITORAMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
ELABORAR CHECK LIST PARA INSTRUÇÃO DOS PROCESSOS DE PAGAMENTO,OBES - Objetivo Estratégico,Check list elaborado,Melhorar a Qualidade das Entregas,"GPMM - GERENCIA DE PROVIMENTO, MANUTENCAO E MONITORAMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
70% das Releases do Sistema de Gestão de Familias entregues no prazo acordado.,OBES - Objetivo Estratégico,Release,Elevar o nível de satisfação do cliente e de imagem institucional,"GPSE - GERENCIA DE SOLUCOES DIGITAIS SOCIAIS, PREVIDENCIA, DESENVOLVIMENTO, EDUCACAO E SAÚDE",2024,28-12-2024 00:00:00,Concluído,"100,00"
Implantação Rede Core SDN,OBES - Objetivo Estratégico,Rede Implantada,Melhorar a Qualidade das Entregas,GRCO - GERENCIA DE REDE CORPORATIVA,2024,31-12-2024 18:00:00,Concluído,"100,00"
70% Satisfação na implantação MTI Connect,OBES - Objetivo Estratégico,Pesquisa de Satisfação,Elevar o nível de satisfação do cliente e de imagem institucional,GSIC - GERENCIA DE SOLUCOES INTERNAS E COLABORACAO,2024,31-12-2024 18:00:00,Concluído,"9.316,00"
70% dos projetos do Acordo de Resultados Detran 2024 entregues no prazo.,OBES - Objetivo Estratégico,Acordo estabelecido,Elevar o nível de satisfação do cliente e de imagem institucional,"GSPT - GERENCIA DE SOLUCOES DIGITAIS DE SEGURANCA PÚBLICA, REGULACAO E TRANSITO",2024,28-12-2024 00:00:00,Concluído,"100,00"
70% Satisfação na implantação do Workspace,OBES - Objetivo Estratégico,Pesquisa de Satisfação,Elevar o nível de satisfação do cliente e de imagem institucional,GSUP - GERENCIA DE SUPORTE TECNICO,2024,31-12-2024 18:00:00,Concluído,"100,00"
Criar controle de empregados que possuem acesso a informações que estão classificadas,OBES - Objetivo Estratégico,Controle criado,Melhorar a Qualidade das Entregas,OUVIDORIA - OUVIDORIA E TRANSP,2024,21-12-2024 00:00:00,Em andamento,"5,00"
Criar padrões/formulários para pedidos de desclassificação/redução de prazo de sigilo,OBES - Objetivo Estratégico,Padrões/formulário criados,Melhorar a Qualidade das Entregas,OUVIDORIA - OUVIDORIA E TRANSP,2024,21-12-2024 00:00:00,Concluído,"100,00"
Disseminar mensalmente informativos sobre Ouvidoria e Transparência,OBES - Objetivo Estratégico,Nº de informativos disseminados,Incentivar uma transformação cultural,OUVIDORIA - OUVIDORIA E TRANSP,2024,21-12-2024 00:00:00,Concluído,"100,00"
Atualizar modelo do Termo de Classificação da Informação,OBES - Objetivo Estratégico,Termo Atualizado,Melhorar a Qualidade das Entregas,OUVIDORIA - OUVIDORIA E TRANSP,2024,21-12-2024 00:00:00,Concluído,"100,00"
"Participar de 09 capacitações cada membro da equipe, nas áreas de Ouvidoria, transparência,Atendimento ao Público, Comunicação e afins",OBES - Objetivo Estratégico,09 Certificados de capacitação por membro da equipe,Incentivar uma transformação cultural,OUVIDORIA - OUVIDORIA E TRANSP,2024,01-12-2024 00:00:00,Concluído,"100,00"
Criar formulário no Sigadoc para solicitação de classificação de documentos sigilosos,OBES - Objetivo Estratégico,Formulário criado,Melhorar a Qualidade das Entregas,OUVIDORIA - OUVIDORIA E TRANSP,2024,01-12-2024 00:00:00,Cancelado,"0,00"
Realizar ao mínimo 18 reuniões para orientação sobre as classificações da informação e outros temas de ouvidoria e transparência,OBES - Objetivo Estratégico,"Nº de reuniões realizadas
Todas as unidades e gerências Orientadas",Incentivar uma transformação cultural,OUVIDORIA - OUVIDORIA E TRANSP,2024,01-08-2024 00:00:00,Cancelado,"0,00"
Termo de Compromisso de Preservação de Sigilo,OBES - Objetivo Estratégico,Termo criado,Melhorar a Qualidade das Entregas,OUVIDORIA - OUVIDORIA E TRANSP,2024,21-12-2024 00:00:00,Concluído,"100,00"
"Revisar PMP's: *Alimentar, Monitorar, acompanhar e disponibilizar informações. *Disseminar normas de transparência e ouvidoria. *Elaborar relatório de gestão da Ouvidoria e Transparência *Gerir denúncias, reclamações, sugestões, elogios, solicitações",OBES - Objetivo Estratégico,PMP's revisados,Melhorar a Qualidade das Entregas,OUVIDORIA - OUVIDORIA E TRANSP,2024,31-07-2024 00:00:00,Concluído,"100,00"
Compartilhamento dos Checklist disponiveis,OBES - Objetivo Estratégico,Número de cheklist compartilhado,Melhorar a Qualidade das Entregas,UGACO - UNIDADE DE GESTAO DE AQUISICOES E CONTRATOS,2024,02-07-2024 00:00:00,Concluído,"100,00"
Licitações dentro do prazo estabelecido no Plano Anual de Aquisições,OBES - Objetivo Estratégico,Número de Licitações ocorridas no prazo,Melhorar a Qualidade das Entregas,UGACO - UNIDADE DE GESTAO DE AQUISICOES E CONTRATOS,2024,31-12-2024 18:00:00,Concluído,"100,00"
"Definição da Prioridades processuais e divulgação da interferencias externas (Condes, Seplag e PGE)",OBES - Objetivo Estratégico,Número de processos da MTI,Melhorar a Qualidade das Entregas,UGACO - UNIDADE DE GESTAO DE AQUISICOES E CONTRATOS,2024,01-03-2024 00:00:00,Concluído,"100,00"
Acompanhar Check Lista nas instruções processos  da GETS/GEPM,OBES - Objetivo Estratégico,Check List elaborados,Melhorar a Qualidade das Entregas,UGADM - UNIDADE DE GESTAO ADMINISTRATIVA,2024,31-12-2024 18:00:00,Concluído,"100,00"
Promover a implantação de testes fim a fim em pelo menos 2 sistemas,OBES - Objetivo Estratégico,Projeto com teste implantado,Melhorar a Qualidade das Entregas,UGARQ - UNIDADE DE GESTAO DE ARQUITETURA TECNOLÓGICA,2024,31-12-2024 18:00:00,Concluído,"100,00"
Promover a implementação de testes unitários com pelo menos 80% de cobertura em 5 projetos,OBES - Objetivo Estratégico,Projeto com teste implantado,Melhorar a Qualidade das Entregas,UGARQ - UNIDADE DE GESTAO DE ARQUITETURA TECNOLÓGICA,2024,01-06-2024 03:00:00,Concluído,"80,00"
Promover a implantação de testes de integração em pelo menos 2 projetos,OBES - Objetivo Estratégico,Projeto com teste implantado,Melhorar a Qualidade das Entregas,UGARQ - UNIDADE DE GESTAO DE ARQUITETURA TECNOLÓGICA,2024,02-09-2024 00:00:00,Concluído,"100,00"
"Aprimorar a utilização das ferramentas ja existentes (e-mail, chat, GAT) e integração da equipe para conhecimento das rotinas de cada setor.",OBES - Objetivo Estratégico,Atividades de Integração,Incentivar uma transformação cultural,UGCOF - UNIDADE DE GESTAO CONTABIL E FISCAL,2024,31-12-2024 18:00:00,Concluído,"100,00"
Registrar novas ideias / inovação,OBES - Objetivo Estratégico,Nº de ideias recebidas nos canais de comunicação da MTI,Incentivar uma transformação cultural,UGENP - UNIDADE DE GESTAO DE NOVOS NEGÓCIOS E PARCERIAS,2024,31-12-2024 00:00:00,Concluído,"1,00"
"Patrocinar 02 eventos de inovação, anualmente",OBES - Objetivo Estratégico,Nº de eventos patrocinados,Elevar a receita de faturamento,UGENP - UNIDADE DE GESTAO DE NOVOS NEGÓCIOS E PARCERIAS,2024,31-12-2024 00:00:00,Concluído,"100,00"
01 Relatório anual de Novos Negócios para MTI,OBES - Objetivo Estratégico,Relatórios de prospecção de Novos Negócios no mercado,Elevar a receita de faturamento,UGENP - UNIDADE DE GESTAO DE NOVOS NEGÓCIOS E PARCERIAS,2024,31-12-2024 00:00:00,Concluído,"100,00"
Realização de 08 eventos direcionados aos interesses e necessidades  dos clientes,OBES - Objetivo Estratégico,Dentro do mês 12 nenhum evento foi realizado.,Elevar o nível de satisfação do cliente e de imagem institucional,UGEPV - UNIDADE DE GESTAO DE PÓS VENDA,2024,31-12-2024 00:00:00,Concluído,"1,00"
Realização de 04 apresentações internas acerca do conceito sucesso do cliente,OBES - Objetivo Estratégico,"são 1 evento por trimestre - Realizado evento no Coco Bambu, almoço com tecnologia.",Incentivar uma transformação cultural,UGEPV - UNIDADE DE GESTAO DE PÓS VENDA,2024,31-12-2024 00:00:00,Concluído,"100,00"
Realizar 24 agendas por videoconferencia para acompanhamento da satisfação do cliente quanto as entregas realizadas,OBES - Objetivo Estratégico,42,Melhorar a Qualidade das Entregas,UGEPV - UNIDADE DE GESTAO DE PÓS VENDA,2024,31-12-2024 00:00:00,Concluído,"40,00"
Realizar 24 visitas presenciais aos clientes,OBES - Objetivo Estratégico,41 visitas realizadas.,Elevar o nível de satisfação do cliente e de imagem institucional,UGEPV - UNIDADE DE GESTAO DE PÓS VENDA,2024,31-12-2024 00:00:00,Concluído,"100,00"
Implantação de um datalake corporativo para abrigar informações de 2 secretarias do estado MT (repositório seguro de dados),OBES - Objetivo Estratégico,Data lake implantado,Melhorar a Qualidade das Entregas,UGGDC - UNIDADE DE GESTAO DE GOVERNANCA DE DADOS E DEFESA CIBERNETICA,2024,29-12-2024 00:00:00,Concluído,"100,00"
Garantir nivel de satisfação de 70% das demandas relacionadas a agenda estratégica de governo digital - 2-E. Serviços públicos digitais,OBES - Objetivo Estratégico,Pesquisa de satisfação,Elevar o nível de satisfação do cliente e de imagem institucional,UGGDI - UNIDADE DE GESTAO DE GOVERNO DIGITAL,2024,28-12-2024 00:00:00,Concluído,"100,00"
Aprimorar o Modelo de práticas de gestão para 2025,OBES - Objetivo Estratégico,Modelo aprimorado,Melhorar a Qualidade das Entregas,UGGOV - UNIDADE DE GESTAO DE APOIO A GOVERNANCA,2024,01-11-2024 00:00:00,Concluído,"100,00"
Implanção e Operacionalização do Processo de Gestão de Capacidades,OBES - Objetivo Estratégico,Processo implantado,Melhorar a Qualidade das Entregas,UGITI - UNIDADE DE GESTAO DE INFRAESTRUTURA DE TECNOLOGIA DA INFORMACAO E COMUNICACAO,2024,31-12-2024 18:00:00,Cancelado,
Controlar e acompanhar as solicitações de remanejamento de recursos de créditos adicionais conforme o planejamento das áreas demandantes da MTI elaborado no PTA 2023.,OBES - Objetivo Estratégico,Solicitações de Créditos Adicionais,Melhorar a Qualidade das Entregas,"UGOFF - UNIDADE DE GESTAO DE ORCAMENTARIA, FINANCEIRA E FATURAMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
"Promover integração entre as gerências GEOR, GEFI e GFAC para que todos possam ter conhecimento das demandas que são executadas por cada setor.",OBES - Objetivo Estratégico,Eventos de Integração,Incentivar uma transformação cultural,"UGOFF - UNIDADE DE GESTAO DE ORCAMENTARIA, FINANCEIRA E FATURAMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
