Unidade,Diretoria,Indicador (descrição),Indicador (tipo),Indicador (fórmula),Meta (objetivo),Meta (valor/quantidade) - proposta,Meta (prazo),Unidade de Medida,Polaridade do Indicador,Como,Necessidades,Observação,Histórico do Indicador,"JANEIRO
META DO MÊS","JANEIRO
ALCANCE DO MÊS","JANEIRO
RESULTADO",JANEIRO OBSERVAÇÃO,"FEVEREIRO
META DO MÊS","FEVEREIRO
ALCANCE DO MÊS","FEVEREIRO
RESULTADO",FEVEREIRO OBSERVAÇÃO,"MARÇO
META DO MÊS","MARÇO
ALCANCE DO MÊS","MARÇO
RESULTADO",MARÇO OBSERVAÇÃO,"ABRIL
META DO MÊS","ABRIL
ALCANCE DO MÊS","ABRIL
RESULTADO",ABRIL OBSERVAÇÃO,"MAIO
META DO MÊS","MAIO
ALCANCE DO MÊS","MAIO
RESULTADO",MAIO OBSERVAÇÃO,"JUNHO
META DO MÊS","JUNHO
ALCANCE DO MÊS","JUNHO
RESULTADO",JUNHO OBSERVAÇÃO,"JULHO
META DO MÊS","JULHO
ALCANCE DO MÊS","JULHO
RESULTADO",JULHO OBSERVAÇÃO,"AGOSTO
META DO MÊS","AGOSTO
ALCANCE DO MÊS","AGOSTO
RESULTADO",AGOSTO OBSERVAÇÃO,"SETEMBRO
META DO MÊS","SETEMBRO
ALCANCE DO MÊS","SETEMBRO
RESULTADO",SETEMBRO OBSERVAÇÃO,"OUTUBRO
META DO MÊS","OUTUBRO
ALCANCE DO MÊS","OUTUBRO
RESULTADO",OUTUBRO OBSERVAÇÃO,"NOVEMBRO
META DO MÊS","NOVEMBRO
ALCANCE DO MÊS","NOVEMBRO
RESULTADO",NOVEMBRO OBSERVAÇÃO,"DEZEMBRO
META DO MÊS","DEZEMBRO
ALCANCE DO MÊS","DEZEMBRO
RESULTADO",DEZEMBRO OBSERVAÇÃO
UNICRS,GADP,Status das ações de disseminação de integridade,Operacional,(número de ações executadas / número de ações planejadas)*100,Executar todas as ações planejadas,90,anual,Percentual,Maior Melhor,"1. Elaboração de cronograma para disseminação sobre ética e realização de eventos/treinamento - projeto ""pílulas de integridade""
2. Pesquisas e elaboração do material a ser disseminado; 
3. Convite de pessoas externas para palestrar sobre temas relacionados;
4. Alinhamento com a ASSCOM para definição da melhor maneira de disseminação de conteúdos e/ou divulgação de eventos",Organização da equipe da UNICRS e da ASSCOM,Integridade,,5%,5%,"100,00%",elaborado cronograma de disseminação ,10%,10%,"100,00%",disseminado 'Pílulas de Integridade’ : tema políticas de presentes e brindes ,10%,10%,"100,00%",disseminado pilulas de integridade ; tema :politica presente e brindes 2 parte ,10%,10%,"100,00%","Projeto ""pilulas de integridade"" disseminado no mês de abril, conforme planejamento.",10%,10%,"100,00%","Projeto ""pilulas de integridade"" disseminado no mês de maio, conforme planejamento, em 24/05",10%,10%,"100,00%","Projeto ""pilulas de integridade"" disseminado no mês de junho, conforme planejamento, em 28/06",10%,10%,"100,00%","Projeto ""pilulas de integridade"" disseminado no mês de julho, conforme planejamento, em 15/07",10%,10%,"0,00%","Projeto ""pilulas de integridade"" disseminado no mês de Agosto, conforme planejamento, em 16/08",,,0,"Projeto ""pilulas de integridade"" disseminado no mês de Setembro, conforme planejamento, em 13/09",,,,"Projeto ""pilulas de integridade"" disseminado no mês de outubro, conforme planejamento, em 07/10",,,,"Projeto ""pilulas de integridade"" disseminado no mês de novembro, conforme planejamento, em 25/11",,,,"Projeto ""pilulas de integridade"" disseminado no mês de Dezembro, conforme planejamento, em 20/12"
UNICRS,GADP,Alcance do treinamento sobre o código de conduta e integridade,,(Qtd de colaboradores treinados/Qtd total de colaboradores)*100,Garantir a participação do colaborador no treinamento anual do código de conduta e integridade,50,anual,Percentual,Maior Melhor,"1. Divulgação da realização do treinamento do código de conduta e integridade a todos os colaboradores, com tempo hábil para que os mesmos possam se programar para participar;
2. Convocação do Presidente para que o colaborador participe do treinamento a ser realizado;
3. Conscientização do colaborador da importância em participar.",Organização da unidade em programar um evento com antecedência e divulgá-lo em tempo hábil; participação dos colaboradores.,Integridade,,10%,10%,"100,00%",disseminado dia 23/01 fique de olho no código ,10%,10%,"100,00%",disseminado 'fique de olho no codigo dia 09/02/2024,10%,10%,"100,00%",disseminado fique e olho no condigo ;  :26/03 conflito de interesse e 13/03 vedacoões  ,,,"0,00%",Treinamento do código de conduta e integridade acontecerá em meados de setembro/24,0%,0%,"0,00%","Treinamento do código de conduta e integridade acontecerá em meados de setembro/24. 
Disseminado informe ""De olho no Código"" em 10/05",0%,0%,"0,00%","Treinamento do código de conduta e integridade acontecerá em meados de setembro/24. 
Disseminado informe ""De olho no Código"" em 07/06",0%,0%,"0,00%","Treinamento do código de conduta e integridade acontecerá em meados de setembro/24. 
Disseminado informe ""De olho no Código"" em 05/07",10%,10%,"0,00%","Treinamento do código de conduta e integridade acontecerá em 16/09/2024. 
Disseminado informe ""De olho no Código"" em 09/08",10%,10%,0%,"Treinamento do código de conduta e integridade acontecerá em 16/09/2024. 
Disseminado informe ""De olho no Código"" em 05/09",10%,10%,0%,"Treinamento do código de conduta e integridade aconteceu em 16/09/2024. 
Disseminado informe ""De olho no Código"" em 03/10",,,,"Treinamento do código de conduta e integridade aconteceu em 16/09/2024. 
Disseminado informe ""De olho no Código"" em 08/11",,,,"Treinamento do código de conduta e integridade aconteceu em 16/09/2024. 
Disseminado informe ""De olho no Código"" em 09/12"
UNICRS,GADP,Status das ações de disseminação da SI,Operacional,(número de ações executadas / número de ações planejadas)*100,Executar todas as ações planejadas,90,anual,Percentual,Maior Melhor,"1. Elaboração de cronograma para disseminação sobre SI e realização de eventos/treinamento - projeto ""tome nota""
2. Pesquisas e elaboração do material a ser disseminado; 
3. Convite de pessoas externas para palestrar sobre temas relacionados;
4. Alinhamento com a ASSCOM para definição da melhor maneira de disseminação de conteúdos e/ou divulgação de eventos",Organização da equipe da UNICRS e da ASSCOM,SI,,,,"0,00%","começou a disseminação  fique seguro, como a política de segurança  ",,,"0,00%",disseminado fique seguro dia 26/02/2024( classificação  da informação ,10%,10%,"100,00%",disseminado fique seguro dia 20/03 proteção da informaçao,10%,10%,"0,00%","Projeto ""tome nota"" disseminado no mês de abril, conforme planejamento",10%,10%,"100,00%","Projeto ""tome nota"" disseminado no mês de maio, conforme planejamento, em 17/05",10%,10%,"100,00%","Projeto ""tome nota"" disseminado no mês de Junho, conforme planejamento, em 21/06",,,"0,00%","Projeto ""tome nota"" disseminado no mês de Julho, conforme planejamento, em 26/07",0%,0%,#DIV/0!,"Não houve divulgação do Projeto ""tome nota"" no mês de Agosto, considerando que já foi finalizada a disseminação dos documetos instituídos, e estamos aguardando o encaminhamento de material aprovado pelo presidente, da cert.br, para continuidade das disseminações.  ",0%,0%,0,"Não houve divulgação do Projeto ""tome nota"" no mês de Setembro, considerando que já foi finalizada a disseminação dos documetos instituídos, e estamos aguardando o encaminhamento de material aprovado pelo presidente, da cert.br, para continuidade das disseminações.  ",,,,"Projeto ""tome nota"" disseminado no mês de Outubro, conforme planejamento, em 10/10.",,,,"Projeto ""tome nota"" disseminado no mês de Novembro, conforme planejamento, em 18/11.",,,,"Projeto ""tome nota"" disseminado no mês de Dezembro, conforme planejamento, em 16/12."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNISECI,GADP,Recomendações com procedimentos,Operacional,(numero de recomendações com procedimentos / numero de recomendações ) *100,Recomendações com procedimentos elaborados,100,"
MENSAL",Percentual,Maior Melhor,"1. Apoiar as Unidades Administrativas na elaboração dos PPCI
2. Monitorar o prazo final para elaboração
3. Manter as Undiades Administrativas informado prazo
4. Avaliar quantativamente o numero de recomendação e de procedimento",,Controle Interno,,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%","NÃO SE APLICA AO PERIODO
",,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%","NÃO SE APLICA AO PERIODO
"
UNISECI,GADP,Numero de recomendações monitoradas dentro o periodo,Operacional,(numero de recomendações monitoradas / total de recomendações*100,Monitorar recomendaçoes ,100,bimestral,Percentual,Maior Melhor,"1. Identificar as recomendações com prazo proximo
2. Realizar agenda com os gerentes responsaveis
3. Avaliar o cumprimento da META",,Controle Interno,,"4,00","4,00","100,00%","1 semana = 1
2 semana = 1
3 semana = 1
4 semana = 1","4,00","4,00","100,00%","1 semana = 1
2 semana = 1
3 semana = 1
4 semana =  1","2,00","2,00","100,00%","1 semana = 0
2 semana = 1 
3 semana = 0
4 semana =  1",4,4,"100,00%","1 semana = 1
2 semana = 1 
3 semana = 1
4 semana =  1","1,00","1,00","100,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO
UNISECI,GADP,Relatório Consolidado Elaborado,Operacional,Numero de relatório elaborado / Numero de relatório planejado ) *100,Relatórios semestral de monitoramento consolidados,100,Trimestral,Percentual,Maior Melhor,"1. Identicar os procedientos contidos no periodo e com prazos proximos
2. Verificar os que foram concluidos
3. Elaborar realtório consolidado
4. Encaminhar as partes interessadas",,Controle Interno,,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",FINALIZADO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",FINALIZADO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO,,,"0,00%",NÃO SE APLICA AO PERIODO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GADP,Nº de dias para atendimento de Processos Judicias,Operacional,Média de dias para atendimento ,Atender no prazo estabelecido,8 dias úteis,mensal,Percentual,Menor Melhor,1. Inclusão das tarefas no GAT MTI; 2. Monitorar o GAT; 3. Monitorar as publicações oficiais; 4. Acompanhar os andamentos processais. 5. Dialogar com a PGE acerca do cumprimento dos prazos.,,,,3,3%,"100,00%",13 atividades,1%,1%,"100,00%",11 atividades,5%,5%,"100,00%",12 atividades,2%,2%,"100,00%",9 atividades,3%,3%,"100,00%",13 atividades,3,3,"100,00%",18 atividades,4%,4%,"100,00%",15 atividades,4%,4%,"100,00%",18 atividades,6%,6%,"100,00%",9 atividades,5%,5%,"100,00%",8 atividades,3%,3%,17 atividades,,5%,5%,"100,00%",5 atividades
UNIJUR,GADP,Nº de dias para atendimento de Processo de Aquisição e Contratos,Operacional,Média de dias para atendimento ,Atender no prazo estabelecido,7 dias úteis podendo ser prorrogado para 12 dias se necessário.,mensal,Percentual,Menor Melhor,"1. Receber os processos no SIGADOC no mesmo dia da remessa;
2. Alimentar diariamente o GAT.
3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",,,,5%,5%,"100,00%",5 atividades,4%,4%,"100,00%",10 atividades,5%,5%,"100,00%",25 atividades,4%,4%,"100,00%",21 atividades,3%,3%,"100,00%",17 atividades,5,5,"100,00%",23 atividades,5%,5%,"100,00%",13 atividades,4%,4%,"100,00%",15 atividades,4%,4%,"100,00%",9 atividades,4%,4%,"100,00%",15 atividades,6%,6%,174 atividades,,4%,4%,"100,00%",17 atividades
UNIJUR,GADP,Nº de dias para atendimento de Processo de Pessoal,Operacional,Média de dias para atendimento ,Atender no prazo estabelecido,7 dias úteis,mensal,Percentual,Menor Melhor,"1. Receber os processos no SIGADOC no mesmo dia da remessa;
2. Alimentar diariamente o GAT.
3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",,,,5%,5%,"100,00%",19 atividades,4%,4%,"100,00%",3 atividades,6%,6%,"100,00%",11 atividades,4%,4%,"100,00%",9 atividades,4%,4%,"100,00%",3 atividades,4,4,"100,00%",9 atividades,5%,5%,"100,00%",93 atividades,5%,5%,"100,00%",15 atividades,5%,5%,"100,00%",69 atividades,5%,5%,"100,00%",22 atividades,6%,6%,19 atividades,,4%,4%,"100,00%",19 atvidades
UNIJUR,GADP,Nº de dias para atendimento de Processos de Clientes,Operacional,Média de dias para atendimento ,Atender no prazo estabelecido,5 dias úteis,mensal,Percentual,Menor Melhor,"1. Receber os processos no SIGADOC no mesmo dia da remessa; 2. Alimentar diariamente o GAT. 3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",,,,5%,5%,"100,00%",12 atividades,4%,4%,"100,00%",6 atividades,3%,3%,"100,00%",7 atividades,5%,5%,"100,00%",6 atividades,3%,3%,"100,00%",3 atividades,5,5,"100,00%",4 atividades,3%,3%,"100,00%",8 atividades,1%,1%,"100,00%",1 atividade,3%,3%,"100,00%",4 atividades,4%,4%,"100,00%",12 atividades,4%,4%,5 atividades,,4%,4%,"100,00%",5 atividades
UNIJUR,GADP,Nº de dias para atendimento de Processo de Parcerias,Operacional,Média de dias para atendimento ,Atender no prazo estabelecido,07 dias úteis se necessário poderá ser prorrogado para 12 dias úteis.,mensal,Percentual,Menor Melhor,"1. Receber os processos no SIGADOC no mesmo dia da remessa; 2. Alimentar diariamente o GAT. 3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",,,,2%,2%,"100,00%",3 atividades,5%,5%,"100,00%",1 atividade,3%,3%,"100,00%",3 atividades,5%,5%,"100,00%",5 atividades,3%,3%,"100,00%",6 atividades,5,5,"100,00%",1 atividade,4%,4%,"100,00%",2 atividades,5%,5%,"100,00%",1 atividade,0%,0%,#DIV/0!,0 atividades,5%,5%,"100,00%",1 atividade,5%,5%,1 atividade,,0%,0%,#DIV/0!,0
