OBJETIVOS | Indicadores e Metas,Riscos Estratégicos,RESULTADO-CHAVE | INICIATIVA [REI],REI - ID,DIRETORIA,Unidade,PRAZO,MÉTRICA,SITUAÇÃO TRIMESTRE 1,SITUAÇÃO TRIMESTRE 2,SITUAÇÃO TRIMESTRE 3,SITUAÇÃO TRIMESTRE 4,SITUAÇÃO GERAL,OBSERVAÇÕES
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Elaborar o plano de integridade,01,GADP,UNICRS,30/03/2023,Plano elaborado,o plano de integridade foi aprovado pela Resolução 02/2024 e oficialmente lançado no dia  27/03 ,CONCLUÍDO,CONCLUÍDO,CONCLUÍDO,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R7_Implementar Plano de Integridade,Definir riscos de integridade,02,GADP,UNICRS,30/04/2024,Riscos definidos,os riscos foram definidos nos plano de ação de riscos das unidades ,CONCLUÍDO,CONCLUÍDO,CONCLUÍDO,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R7_Implementar Plano de Integridade,Definir indicadores de integridade,03,GADP,UNICRS,30/04/2024,Indicadores definidos,os indicadores serão definidos até dia 30/04 . porém o plano já está sendo monitorado ,Indicador definido: PERCENTUAL DE EXECUÇÃO DO PLANO DE INTEGRIDADE,CONCLUÍDO,CONCLUÍDO,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R7_Implementar Plano de Integridade,Elaborar política de integridade e anticorrupção,04,GADP,UNICRS,30/07/2024,Política elaborada,minuta elaborada ,"A minuta passou por nova análise, em razão de atualizações legais e do lançamento do programa de integridade da MTI - será apresentado ao presidente para posterior aprovação em DIREX ou Conselho de Administração","EM ANDAMENTO - a política já havia sido finalizada, contudo, em razão da necessidade de adequação dos documentos instituídos, uma nova proposta esta sendo desenvolvida, considerando, ainda, as políticas atualmente instituídas e o codigo de conduta e integridade e código disciplinar, que está passando por atualizações.",,Em execução,"Em razão da necessidade de adequações do documento às políticas instituídas, o conteúdo precisou ser revisado e deve aguardar a atualização do codigo de conduta e integridade."
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Aprovar no conselho de adm a politica de risco ,05,GADP,UNICRS,30/03/2024,Documentos atualizadas,já foi aprovado resolução 02/2024 e publicada na internet  ,CONCLUÍDO,CONCLUÍDO,CONCLUÍDO,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,"Atualizar os modelos existentes atualmente, a fim de otimizar, simplificar e adequar o preenchimento das planilhas, à realidade do gerenciamento de riscos na MTI. ",06,GADP,UNICRS,29/02/2024,Planilhas atualizadas,atualizadas ,CONCLUÍDO,CONCLUÍDO,CONCLUÍDO,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R3_Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,Elaborar e apresentar em DIREX relatório trimestral da evolução do tratamento dos riscos corporativos na MTI.,07,GADP,UNICRS,30/12/2024,Relatorios entregues ,previsto para junho de 2024,"Em elaboração o primeiro relatório trimestral (referente a abril, maio e junho) - será apresentado em DIREX",Primeiro relatório encaminhado - segundo relatório será elaborado após o 5º dia útil de outubro e será apresentado em DIREX.,,Em execução,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Revisar e atualizar o regimento interno e a portaria de nomeação do comitê de segurança e riscos,08,GADP,UNICRS,30/04/2024,Regimento Interno e  portaria de nomeação do Comitê de Segurança e Riscos atualizado,"portaria do comitê atualizada n.025/2024 e o regimento já foi atualizado , em andamento a aprovação do presidente ","portaria publicada. regimento interno já validado pelo presidente, analisado pela PGE e em análise na CGE, aguardando retorno para publicação.",CONCLUÍDO,CONCLUÍDO,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R3_Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,Coordenar   a Elaboraçao do plano de açao  do comitê segurnaça e risco,09,GADP,UNICRS,30/04/2024,plano de açao elaborado ,"O plano esta em elaboracao, próxima reunião dia 25/04  ",CONCLUÍDO,CONCLUÍDO,CONCLUÍDO,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R3_Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,Coodenar   as reunioes  do comitê segurança e risco,10,GADP,UNICRS,30/12/2024,reuniões aconpanhadas ,em andamento próxima reunião dia 25/04  ,Atividade em andamento - reunião realizada em 04/07/2024,Atividade em andamento - última reunião ocorreu em 19/09/2024,,Em execução,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 3 R7_Implementar Plano de Integridade,Promover treinamento do código de conduta e integridade aos colaboradores. (Anual),11,GADP,UNICRS,30/09/2024,Treinamentos realizado,prevista para setembro ,prevista para setembro ,CONCLUÍDO,CONCLUÍDO,Concluída,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 3 R7_Implementar Plano de Integridade,Promover treinamento das políticas de integridade (Anual),12,GADP,UNICRS,30/09/2024,Treinamentos realizado,prevista para setembro ,prevista para setembro ,CONCLUÍDO,CONCLUÍDO,Concluída,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 3 R7_Implementar Plano de Integridade,Disseminar mensalmente informativos de integridade (12 no ano),13,GADP,UNICRS,30/12/2024,Nº de informativos disseminados,"em andamento já foram disseminado os meses de janeiro , fevereiro , março e abril  ","EM ANDAMENTO - disseminações de maio, junho e julho realizadas ",EM ANDAMENTO - disseminações de agosto e setembro realizadas ,,Em execução,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 3 R3_Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,Disseminar mensalmente informativos de segurança da informaçao  (12 no ano),14,GADP,UNICRS,30/12/2024,Nº de informativos disseminados,"em andamento já foram disseminado os meses de janeiro , fevereiro , março e abril  ",EM ANDAMENTO - disseminações de maio e junho realizadas (julho programada),EM ANDAMENTO - disseminações de agosto e setembro realizadas ,,Em execução,
,,,,,,,,,,,,,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R3_Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,"Identicar e recomendar proteção para os ativos criticos da empresa. ( inclui adequados controles internos , cobertura de seguros, contigência e redundancia)",01,GADP,UNISECI,30/05/2024,Quantidade de ativos criticos Identificados com recomendações,"Em agenda 12/03/2024 com o presidente e assessor Cirano, ficou definido que esta iniciativa será tranferida para outra unidade administrativa(UNICRS). Afim de compor o processo de gerenciamento de Riscos","CONTACTADODIRETOR DA DTIC PARA REINICIAR OS TRABALHOS 
(contextualização e definição de diretrizes) - 09/01/2024
agenda 05/02 cancelada…aguardando nova data a ser informada pela DTIC
SOLICITADO NOVA DATA A ASSESSORA WANNESSA -19/02/2024

NA AGENDA 26/02 A PRESIDÊNCIA FICOU DE DEFINIR SE IRIA TRANSFERIR PARA A DTIC

AGENDA 12/03/2024 - Iniciativa será transferida para outra Unidade Administrativa.

",Cancelada,,Cancelada,Transferida
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3",N.S.A.,Coordenar/Assistir as Undiades Administrativas na implementação do roteiro do e-Prevenção(CGE/TCU),02,GADP,UNISECI,30/12/2024,Quantidade de ações implementadas,"Realizado agendas com a UGGOV e UNICRS para implementação da Questão 24 Alternativa 02
Realizada agenda com UNICRS para abertura de um plano de ação para implementação da Q24A2
Apresentado GADP as formas de comunicação e de avaliação minutada pela UNICRS/UNISECI: 26/02/2024
==>Questão 18 - alternativa 2 - implementada","Questão 24 - A sua organização avalia a cultura e gestão da ética e da integridade?
Alternativa 2 - A minha organização avalia a regularidade e a eficiência da comunicação dos valores e princípios da organização. linha 76
Elaborado  plano de ação UNICRS/UNISECI
07.06.2024 - VALIDADO COM  à presidência.

Atualizardo no sistema e-Prevenção as alternativas “não serão implementadas”, de acordo com os dados da planilha de gestão.","Monotoramento da execução do plano de ação da questão 24 - alternativa 2
Realizado encerramento das questões : Questão 24 -  Alternativa 4  e Questão 27 -  Alternativa 1 
Extração de relatórios\evidencias para IMGG
Apresentação da planilha para a UNISECI-CGE e INTEGRIDADE","Em viturde da recomendação técnica 120/2024, foram realizadas 3 agendas de trabalho para: -Revisão dos responsáveis; - Atualização dos responsáveis; - definição/atualização dos prazos de implementação.

Questão 24, Aleternativa 2 - encontra-se em fase final de encerramento.

Realizado 09 (nove) agendas de trabalho com as Unidades Administrativas.",Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,"Analisar e reportar a efetividade dos controles intituidos políticas, PMP, planos, checklist l e procedimentos para se atingir  objetivos estratégicos",03,GADP,UNISECI,30/12/2024,"Indicador  (descrição) = checklist padronizados de  CONTRATAÇÕES aplicados 

indicador (formula) = ( numero de checklist aplicados /  7 )

meta (prazo) = semestral

meta = 100%","VALIDADO COM  GADP a permanecia da INICIATIVA.
VERIFICAR UGGOV a aplicação em 2024 - período - para as unidades administrativas com OM e que permaneceram na nova estrutura - PRAZO abril/2024
",EM SOBRESTADO ATÉ 15 DE JULHO,EM SOBRESTADO ATÉ 15 DE OUTUBRO,,Planejada,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 4 R3_Avaliar os resultados efetivos do atual método adotado visando o foco em resultados,Identitificar causas de não implementação das OM que contribuem com o Objetivo Estrategico 4 ,04,GADP,UNISECI,30/06/2024,Quantidade OM com relação direta com OBE4,INICIATIVA SUSPENSA....JÁ AÇÕES CONTIDAS NA  ANTERIOR,INICIATIVA SUSPENSA....JÁ AÇÕES CONTIDAS NA  ANTERIOR,Cancelada,,Cancelada,
,,,,,,,,,,,,,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 4 R3_Avaliar os resultados efetivos do atual método adotado visando o foco em resultados,Mapear os pareceres administrativos de acordo com os pareceres emitidos pela PGE/MT),01,GADP,UNIJUR,14/10/2024,Mapear 5 pareceres no ano e encaminhar as informações necessárias aos setores competentes através de CI.,Pareceres estão sendo mapeados,Preceres mapeados. Falta encaminhar a CI para ás áreas.,CI ainda não foi encaminhada,,Atrasada,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 4 R3_Avaliar os resultados efetivos do atual método adotado visando o foco em resultados,Padronizar o tempo necessário para análise dos processos administrativos (7 dias úteis),02,GADP,UNIJUR,31/12/2024,% de processos analisados dentro do prazo,prazos estão sendo cumpridos,"prazos devidamente cumpridos, a média consta no acompanhamento dos indicadores","medido mensalmente, demanda sendo cumprida",,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 4 R3_Avaliar os resultados efetivos do atual método adotado visando o foco em resultados,"Padronizar os modelos de editais, minutas de contratos, regulamento de aquisições e manifestações. Kits de contratação para Parcerias, revisão e padronização dos documentos a serem utilizados.",03,GADP,UNIJUR,30/11/2024,Nº de documentos padronizados no ano,os modelos estão em andamento,Regulamento de aquisições e contratos foi finalizado pela UNIJUR e o setor de aquisições solicitou mais prazo para análise. As demais minutas estão sendo confeccionadas junto com as áreas específicas.,Regulamento de aquisições finalizado pelo Jurídico e encaminhado a PGE/MT para análise e Parecer Conclusivo,,Concluída,
,,,,,,,,,,,,,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",N.S.A.,Implementar Podcast da MTI,01,GADP,ASSCOM,31/07/2024,Podcast implementado,Ação não iniciada.,"Equipamentos e local solicitados à SECOM para realização do podcast 1x por mês.
Realizado estrutura do podcast e sugestões de pautas para ser validada com o presidente.","Podcast
Formato: Aprovado
Local: Definido
Conteúdo: Validado
Templates de divulgação: Prontos
Aguardando fim do período político conforme instrução da SECOM",,Em execução,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,Objetivo 4 R3_Avaliar os resultados efetivos do atual método adotado visando o foco em resultados,"Consolidar o instrumento de pesquisa institucional 
(Pesquisa de Imagem e Satisfação: meta 8,30)",02,GADP,ASSCOM,31/12/2024,Conceito da avaliação,Pesquisa de 2023 validada. Em fase de tratamento com base nos resultados obtidos.,"Em fase de tratamento com base nos resultados obtidos. Reuniões de alinhamento feitas com cada diretoria responsável,","Relatórios das duas diretorias entregues e em monitoramento contínuo.
",,Em execução,
,,,,,,,,,,,,,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",Aprimorar o PMP da Estratégia (otimização e interface com gestão de riscos) para uso no ciclo 2025,01,GADP,UGGOV_GGES,31/07/2024,PMP aprimorado,Não priorizado para 1º trimestre.,Não priorizado para 2º trimestre.,"PMP revisado em setembro com as melhorias:
Sistematizar o envio trimestral dos resultados do PE para os colaboradores
Disponibilizar na intranet: Planos das iniciativas estratégicas
Implantar novo indicador na uggov ""Índice de cumprimento do Plano Estratégico""
Criar indicadores de efetividade da estratégia.
Aprimorar o PMP da Estratégia (otimização e interface com gestão de riscos)
Aperfeiçoar a gestão à vista e disseminação do plano estratégico",Concluída,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Aperfeiçoar método/metodologia da avaliação da gestão adotando meta intermediária por Critério,02,GADP,UGGOV_GEPP,16/02/2024,Método/modelo adotado ,Modelo evoluído com adoção da previsão de meta por critério,Concluída,Concluída,Concluída,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R4_Sensibilização/motivação das equipes,Revisar 3 processos críticos da UGGOV,03,GADP,UGGOV_GGES,29/11/2024,PMP´S revisados/elaborados,Iniciada a revisão de 2 processos: Monitorar PTA e Disseminar Cultura de Planejamento,Em revisão os processos da UGGOV: Monitorar PTA e Disseminar Cultura de Planejamento,"Revisado os processos:
Coordenar a Elaboração e Revisão do PPA 
Coordenar a Elaboração do Relatório de Ação Governamental - RAG
Manter o PTA Gerencial Monitorado
Manter Cadastro no Sistema “GAT”
Manter cadastro de Usuário no Sistema “Monitora”
Coordenar a Elaboração da Estratégia de Longo Prazo
Monitorar Plano de Trabalho Anual - PTA
Coordenar a Elaboração do PTA",Concluída,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Disponibilizar novo painel de gestão sobre a Cadeia de Valor da MTI,04,GADP,UGGOV_GEPP,30/06/2024,Painel disponibilizado,Não priorizado para 1º trimestre.,Não priorizado para 2º trimestre.,Em fase de conclusão,Painel atualizado e disponibilizado a equipe gerencial da MTI.,Concluída,Painel elaborado
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R4_Sensibilização/motivação das equipes,Aperfeiçoar a gestão à vista e disseminação do plano estratégico ,05,GADP,UGGOV_GGES,30/04/2024,"Painéis de gestão disponibilizados
Cartazes fisicos disponibilizados",Gestão à vista aprimorada através dos cartazes físicos e via intranet.,"Notícia elaborada, em análise junto ASSCOM para envio semestral a partir julho/24","Submenus na intranet - em fase de finalização
Notícia do PE elaborado - aguardando finalização intranet
PMP do PE aperfeiçoado","Submenus na intranet - atalização implementada
Notícia do PE elaborado - publicada na intranet",Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R4_Sensibilização/motivação das equipes,Aperfeiçoar a gestão à vista das práticas de gestão,06,GADP,UGGOV_GEPP,26/04/2024,"Gestão à vista aperfeiçoada
Disseminação aperfeiçoada","Gestão à vista aprimorada através dos cartazes físicos, via intranet e por meio dos painéis da gestão.",Concluída,Concluída,Concluída,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R4_Sensibilização/motivação das equipes,Aprimorar o Modelo de práticas de gestão para 2025,07,GADP,UGGOV,31/10/2024,Modelo aprimorado,Não priorizado para 1º trimestre.,Ação planejada para Setembro,Proposta elaborada - em análise para aprovação,Proposta aprovada em diretoria,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R4_Sensibilização/motivação das equipes,Publicar no site da SEPLAG a nova cadeia de valor / manual técnico área finalística,08,GADP,UGGOV_GEPP,29/02/2024,Mapeamento Publicado,Publicado em Fevereiro de 2024,Concluída,Concluída,Concluída,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R4_Sensibilização/motivação das equipes,Aperfeiçoar o instrumento do RIS ,09,GADP,UGGOV_GGES,30/06/2024,Artefato aperfeiçoado,Elaborada minuta para apresentação ao diretor.,Será feita validação junto ao Diretor - previsto para julho/24,Modelo simplificado;aprovado,Concluída,Concluída,
,,,,,,,,,,,,,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",Elaborar Guia de de Gestão de Projetos com intuito de padronização das práticas de Gestão de Projetos do Modelo Tradicional e Ágil,01,GADP,UGPRO,15/06/2024,Documento disponibilizado em Sistema de Gestão,"Documento elaborado, necessitado de homologação junto a Área TIC.",Publicado a documento na primeira semana de Jul/24; Próximos passos é a formatação de Treinamento do SN em conjunto com a DTIC.,Concluída,,Concluída,"1. Prazo não atendido devido as adequações de Fluxo de Projetos no Sistema Service Now ainda em desenvolvimento.2. Previsão de conclusão: 15.06.24.
"
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,"Implantar Módulos de Plano de Aquisição e Plano de Ação com utilização do Service Now, com intuito de garantir a integridade das informações e propor visão estratégica do processo.",02,GADP,UGPRO,30/09/2024,Módulos de Plano de Ação no Service Now,"Concluído o levantamento de requisitos em conjunto com as Áreas GADP, DTIC e UGACO, e disponibilizadas ao parceiro VA para construção do BackLog",Demanda paralisada em virtude de outras ações emergências e redução de equipe.,"Em virtude da alta demanda de outras ações da UGPRO, no momento esta atividade não está priorizada por ausência de força de trabalho.",,Cancelada,1. Previsão de início a apartir do dia 20/08; 2. Atividade cancelada em virtude de insuficiência de horas em Contrato de Consumo.
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",Capacitação dos integrantes da Equipe UGPRO na ferramenta Service Now e conceitos sobre Gestão de Projeto para otimização do atendimento dos clientes internos da MTI,03,GADP,UGPRO,31/08/2024,Número de Capacitações: 02 para 2024,"Capacitação não realizada, recentemente a UGPRO concluiu a contratação de 02 estagiários para UGPRO para apoio nas atividades da área.",Previso para terceira semana de Ago/24; Será formatado capacitação/ reciclagem para os usuários do SN.,UGPRO iniciou a revisão dos materiais de treinamentos disponibilizados pelo Parceiro ServiceNow; Próximos passos será a definição de plataforma de disponibilização dos cursos.,,Concluída,"1. Atividade com dependência da disoonibilização do Guia de Gestão de Projetos.
2. Previsão de conclusão: 31.07.24.
3. Elaboração de material de treinamento para disseminação da MTI."
,,,,,,,,,,,,,
